method,dataset,M,nbits,bits_per_vector,train_size,nq,nb,nb_sample,dim,n_centroids,n_exports,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s_mean,adc_time_s_std,per_pair_adc_time_ns_mean,per_pair_adc_time_ns_std,rel_error_count,rel_error_mean,rel_error_mean_std_across_exports,rel_error_std,rel_error_min,rel_error_max
PQ,bigann,1,4,4,1000000,1000,1000000.0,10000,128,16,3,15.188994333333333,1.9691936666666667,0.15551,2.235206,0.04045327007770536,0.0010763228323693629,4.045327007770538,0.10763228323693684,10000000,0.3588327534369455,0.0,0.1262681342763017,4.775866955242236e-07,31.348114013671875
PQ,bigann,1,6,6,1000000,1000,1000000.0,10000,128,64,1,15.668067,2.790108,0.180093,2.675483,0.0412132143974304,0.0,4.121321439743042,0.0,10000000,0.3079697654979403,0.0,0.1200751304383118,0.0,12.137425422668455
PQ,bigann,1,8,8,1000000,1000,1000000.0,10000,128,256,1,16.101025,3.80477,0.352052,4.995406,0.0122105777263641,0.0,1.2210577726364136,0.0,10000000,0.2682500397673383,0.0,0.1147779863330713,1.395593898223524e-07,7.096811294555664
PQ,bigann,2,4,8,1000000,1000,1000000.0,10000,128,16,2,28.077164500000002,2.840142,0.2668535,2.3372235000000003,0.07300001755356786,0.0006355375970518202,7.300001755356789,0.0635537597051835,10000000,0.3246518972791269,0.0,0.1108490305562929,0.0,16.453447341918945
PQ,bigann,1,10,10,1000000,1000,1000000.0,10000,128,1024,1,30.592625,8.631926,0.642659,5.11246,0.0635789781808853,0.0,6.357897818088532,0.0,10000000,0.2358422042257479,0.0,0.1092095114849413,0.0,3.607823610305786
PQ,bigann,1,12,12,1000000,1000,1000000.0,10000,128,4096,1,47.152634,19.595077,0.979692,7.240724,0.0712499022483825,0.0,7.124990224838257,0.0,10000000,0.2081784939018915,0.0,0.1036716773569844,0.0,2.284332036972046
PQ,bigann,2,6,12,1000000,1000,1000000.0,10000,128,64,1,26.082186,3.290119,0.227756,2.972971,0.073850966989994,0.0,7.385096698999405,0.0,10000000,0.2614395754888739,0.0,0.1025229807299071,1.4602395026486192e-07,11.534152030944824
PQ,bigann,2,8,16,1000000,1000,1000000.0,10000,128,256,1,39.448539,9.103866,1.806987,6.412626,0.0173895508050918,0.0,1.7389550805091858,0.0,10000000,0.2164413100834669,0.0,0.0953053015905386,5.671369081028388e-07,6.265950679779053
PQ,bigann,4,4,16,1000000,1000,1000000.0,10000,128,16,2,39.1405425,4.305333,0.398552,2.0576975,0.11593312397599215,0.002279570253628362,11.59331239759922,0.2279570253628425,10000000,0.2860005776091385,0.0,0.0994854787477557,2.237384677528098e-07,16.67038917541504
PQ,bigann,2,10,20,1000000,1000,1000000.0,10000,128,1024,1,71.524393,14.353699,1.554513,7.066565,0.0982531681656837,0.0,9.825316816568376,0.0,10000000,0.1815959021113599,0.0,0.0883603641377822,0.0,3.8602683544158936
PQ,bigann,2,12,24,1000000,1000,1000000.0,10000,128,4096,1,80.585589,32.204663,1.660253,5.764956,0.1347248554229736,0.0,13.472485542297363,0.0,10000000,0.1529256704704363,0.0,0.0814918960330137,6.715779932164878e-08,1.281301975250244
PQ,bigann,4,6,24,1000000,1000,1000000.0,10000,128,64,1,36.596362,5.037054,0.500774,2.781551,0.1455358564853668,0.0,14.553585648536682,0.0,10000000,0.2160588801467903,0.0,0.0896595187821082,9.857795646439629e-08,9.598979949951172
