method,dataset,M,nbits,bits_per_vector,train_size,nq,nb_sample,dim,n_exports,distortion_error,distortion_count,spearman,spearman_query_count
PQ,bigann,1,4,4,1000000,1000,10000,128,3,316.7237854003906,10000,0.5986379505125995,1000
PQ,bigann,1,6,6,1000000,1000,10000,128,1,290.516845703125,10000,0.6814253095009851,1000
PQ,bigann,1,8,8,1000000,1000,10000,128,1,269.4684143066406,10000,0.7348373745281697,1000
PQ,bigann,2,4,8,1000000,1000,10000,128,2,300.50323486328125,10000,0.7000022919953549,1000
PQ,bigann,1,10,10,1000000,1000,10000,128,1,252.17247009277344,10000,0.7737770793432988,1000
PQ,bigann,1,12,12,1000000,1000,10000,128,1,237.47085571289062,10000,0.8038823950130158,1000
PQ,bigann,2,6,12,1000000,1000,10000,128,1,267.4873046875,10000,0.7744645795474218,1000
PQ,bigann,2,8,16,1000000,1000,10000,128,1,241.61517333984375,10000,0.8210298311888223,1000
PQ,bigann,4,4,16,1000000,1000,10000,128,2,281.488525390625,10000,0.7682111337271553,1000
PQ,bigann,2,10,20,1000000,1000,10000,128,1,219.91452026367188,10000,0.8532944384243843,1000
PQ,bigann,2,12,24,1000000,1000,10000,128,1,202.2107391357422,10000,0.8776674697663988,1000
PQ,bigann,4,6,24,1000000,1000,10000,128,1,242.67990112304688,10000,0.827607201709148,1000
PQ,bigann,4,8,32,1000000,1000,10000,128,1,211.41122436523438,10000,0.870602003927696,1000
PQ,bigann,8,4,32,1000000,1000,10000,128,2,238.193603515625,10000,0.8325410631700226,1000
PQ,bigann,4,10,40,1000000,1000,10000,128,1,186.48800659179688,10000,0.8983339035953711,1000
PQ,bigann,4,12,48,1000000,1000,10000,128,1,166.60293579101562,10000,0.920446906148893,500
PQ,bigann,8,6,48,1000000,1000,10000,128,1,190.87802124023438,10000,0.8853355655398997,500
PQ,bigann,8,8,64,1000000,1000,10000,128,1,156.6654815673828,10000,0.9211483133430192,500
PQ,bigann,16,4,64,1000000,1000,10000,128,2,182.49542236328125,10000,0.8765011450063155,500
PQ,bigann,8,10,80,1000000,1000,10000,128,1,131.97691345214844,10000,0.9453825367079134,500
PQ,bigann,8,12,96,1000000,1000,10000,128,1,112.76363372802734,10000,0.9615732680584208,500
PQ,bigann,16,6,96,1000000,1000,10000,128,1,134.2616424560547,10000,0.9332660588243246,500
PQ,bigann,16,8,128,1000000,1000,10000,128,1,102.5361099243164,10000,0.9626202056240102,500
PQ,bigann,32,4,128,1000000,1000,10000,128,2,133.0413055419922,10000,0.9301512816603129,500
PQ,bigann,16,10,160,1000000,1000,10000,128,1,79.8509750366211,10000,0.9802155737362118,500
PQ,bigann,16,12,192,1000000,1000,10000,128,1,63.3603630065918,10000,0.9886716443612764,500
PQ,bigann,32,6,192,1000000,1000,10000,128,1,86.78223419189453,10000,0.970566601977306,500
PQ,bigann,32,8,256,1000000,1000,10000,128,1,59.764686584472656,10000,0.9863102322687023,500
PQ,bigann,64,4,256,1000000,1000,10000,128,2,84.18560028076172,10000,0.9636414676972627,500
PQ,bigann,32,10,320,1000000,1000,10000,128,1,42.05623245239258,10000,0.9942451795813159,500
PQ,bigann,32,12,384,1000000,1000,10000,128,1,29.78132438659668,10000,0.9973453964405419,500
PQ,bigann,64,6,384,1000000,1000,10000,128,1,46.63813400268555,10000,0.9879066524146026,500
PQ,bigann,64,8,512,1000000,1000,10000,128,1,24.80263900756836,10000,0.9969112829435448,500
PQ,bigann,128,4,512,1000000,1000,10000,128,1,32.91133117675781,10000,0.9901154839818268,500
PQ,bigann,64,10,640,1000000,1000,10000,128,1,12.225830078125,10000,0.9992627396717154,500
PQ,bigann,64,12,768,1000000,1000,10000,128,1,5.405296802520752,10000,0.9998445759922538,500
PQ,bigann,128,6,768,1000000,1000,10000,128,1,9.0909423828125,10000,0.9990646847951268,500
PQ,bigann,128,8,1024,1000000,1000,10000,128,1,1.0491262674331665,10000,0.9999565229085251,500
PQ,bigann,128,10,1280,1000000,1000,10000,128,1,0.3192259669303894,10000,0.9999944946404249,500
PQ,bigann,128,12,1536,1000000,1000,10000,128,1,0.17039544880390167,10000,0.9999991456251673,500
