method,dataset,M,nbits,bits_per_vector,train_size,nq,nb_sample,dim,n_exports,distortion_error,distortion_count,spearman,spearman_query_count
PQ,deep,1,4,4,1000000,1000,10000,96,1,0.8339889645576477,10000,0.4448933314975253,500
PQ,deep,1,6,6,1000000,1000,10000,96,1,0.7694354057312012,10000,0.5279184317610963,500
PQ,deep,1,8,8,1000000,1000,10000,96,1,0.7148237824440002,10000,0.5839724730927808,500
PQ,deep,2,4,8,1000000,1000,10000,96,1,0.822921097278595,10000,0.5082460261007082,500
PQ,deep,1,10,10,1000000,1000,10000,96,1,0.6701473593711853,10000,0.6352093502473094,500
PQ,deep,1,12,12,1000000,1000,10000,96,1,0.6337869167327881,10000,0.6757148385508523,500
PQ,deep,2,6,12,1000000,1000,10000,96,1,0.755926251411438,10000,0.5780043126740911,500
PQ,deep,3,4,12,1000000,1000,10000,96,1,0.808148205280304,10000,0.5437405478185335,500
PQ,deep,2,8,16,1000000,1000,10000,96,1,0.6991644501686096,10000,0.6299523775495477,500
PQ,deep,4,4,16,1000000,1000,10000,96,1,0.7967826724052429,10000,0.5792851524302355,500
PQ,deep,3,6,18,1000000,1000,10000,96,1,0.7404112219810486,10000,0.6157197639203736,500
PQ,deep,2,10,20,1000000,1000,10000,96,1,0.6528967022895813,10000,0.676117596550768,500
PQ,deep,2,12,24,1000000,1000,10000,96,1,0.6144108772277832,10000,0.7150662215584862,500
PQ,deep,3,8,24,1000000,1000,10000,96,1,0.6816673874855042,10000,0.6654413388288294,500
PQ,deep,4,6,24,1000000,1000,10000,96,1,0.7258264422416687,10000,0.6478927584339197,500
PQ,deep,6,4,24,1000000,1000,10000,96,1,0.7726035118103027,10000,0.6311112303637203,500
PQ,deep,3,10,30,1000000,1000,10000,96,1,0.632815957069397,10000,0.7079795560912676,500
PQ,deep,4,8,32,1000000,1000,10000,96,1,0.6637805700302124,10000,0.6943679819768638,500
PQ,deep,8,4,32,1000000,1000,10000,96,1,0.7463756203651428,10000,0.6695804532785485,500
PQ,deep,3,12,36,1000000,1000,10000,96,1,0.5924456715583801,10000,0.7447106373846024,500
PQ,deep,6,6,36,1000000,1000,10000,96,1,0.692160964012146,10000,0.6948276141251641,500
PQ,deep,4,10,40,1000000,1000,10000,96,1,0.6127450466156006,10000,0.7360874383738824,500
PQ,deep,4,12,48,1000000,1000,10000,96,1,0.5701583027839661,10000,0.7700618534700985,500
PQ,deep,6,8,48,1000000,1000,10000,96,1,0.6251388788223267,10000,0.7400470752396227,500
PQ,deep,8,6,48,1000000,1000,10000,96,1,0.6586823463439941,10000,0.7292152879956169,500
PQ,deep,12,4,48,1000000,1000,10000,96,1,0.6943475008010864,10000,0.7204191724575997,500
PQ,deep,6,10,60,1000000,1000,10000,96,1,0.5687695145606995,10000,0.7799537437013694,500
PQ,deep,8,8,64,1000000,1000,10000,96,1,0.5842410922050476,10000,0.7761123994127078,500
PQ,deep,16,4,64,1000000,1000,10000,96,1,0.642708420753479,10000,0.7577956630266766,500
PQ,deep,6,12,72,1000000,1000,10000,96,1,0.5207395553588867,10000,0.8116524512467326,500
PQ,deep,12,6,72,1000000,1000,10000,96,1,0.589974045753479,10000,0.7782383710975677,500
PQ,deep,8,10,80,1000000,1000,10000,96,1,0.5221572518348694,10000,0.8141370122760422,500
PQ,deep,8,12,96,1000000,1000,10000,96,1,0.467986136674881,10000,0.8455439820221518,500
PQ,deep,12,8,96,1000000,1000,10000,96,1,0.5012401938438416,10000,0.8274798804915908,500
PQ,deep,16,6,96,1000000,1000,10000,96,1,0.5207293033599854,10000,0.819358492473657,500
PQ,deep,24,4,96,1000000,1000,10000,96,1,0.5428335666656494,10000,0.8146250749659628,500
PQ,deep,12,10,120,1000000,1000,10000,96,1,0.42654258012771606,10000,0.8662878589151105,500
PQ,deep,16,8,128,1000000,1000,10000,96,1,0.4203493297100067,10000,0.8710100393485164,500
PQ,deep,32,4,128,1000000,1000,10000,96,1,0.4522894620895386,10000,0.8556740462769805,500
PQ,deep,12,12,144,1000000,1000,10000,96,1,0.3634953200817108,10000,0.8990774290580782,500
PQ,deep,24,6,144,1000000,1000,10000,96,1,0.39641013741493225,10000,0.8821095751613677,500
PQ,deep,16,10,160,1000000,1000,10000,96,1,0.3392890989780426,10000,0.9097923573233315,500
PQ,deep,16,12,192,1000000,1000,10000,96,1,0.2735069692134857,10000,0.9397096276626883,500
PQ,deep,24,8,192,1000000,1000,10000,96,1,0.28719279170036316,10000,0.9320609020977532,500
PQ,deep,32,6,192,1000000,1000,10000,96,1,0.2967131733894348,10000,0.926225503823119,500
PQ,deep,48,4,192,1000000,1000,10000,96,1,0.30822017788887024,10000,0.9188900253511643,500
PQ,deep,24,10,240,1000000,1000,10000,96,1,0.2068200409412384,10000,0.9621324722116447,500
PQ,deep,32,8,256,1000000,1000,10000,96,1,0.19174985587596893,10000,0.9661152209963523,500
PQ,deep,24,12,288,1000000,1000,10000,96,1,0.14869920909404755,10000,0.9800768413022725,500
PQ,deep,48,6,288,1000000,1000,10000,96,1,0.16187454760074615,10000,0.9735574550024146,500
PQ,deep,32,10,320,1000000,1000,10000,96,1,0.12317567318677902,10000,0.9850819906678998,500
PQ,deep,32,12,384,1000000,1000,10000,96,1,0.08031383901834488,10000,0.993210193697654,500
PQ,deep,48,8,384,1000000,1000,10000,96,1,0.08522362262010574,10000,0.9913544874375929,500
PQ,deep,96,4,384,1000000,1000,10000,96,1,0.09926137328147888,10000,0.9851132677115487,500
PQ,deep,48,10,480,1000000,1000,10000,96,1,0.04591657221317291,10000,0.9971018754413546,500
PQ,deep,48,12,576,1000000,1000,10000,96,1,0.024781733751296997,10000,0.9990117197601812,500
PQ,deep,96,6,576,1000000,1000,10000,96,1,0.03605350852012634,10000,0.9968644898117809,500
PQ,deep,96,8,768,1000000,1000,10000,96,1,0.013607428409159184,10000,0.9992777303440252,500
PQ,deep,96,10,960,1000000,1000,10000,96,1,0.004812733270227909,10000,0.999828600959886,500
PQ,deep,96,12,1152,1000000,1000,10000,96,1,0.001519427984021604,10000,0.9999563209988512,500
