method,dataset,M,nbits,bits_per_vector,train_size,nq,nb,nb_sample,dim,n_centroids,n_exports,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s_mean,adc_time_s_std,per_pair_adc_time_ns_mean,per_pair_adc_time_ns_std,rel_error_count,rel_error_mean,rel_error_mean_std_across_exports,rel_error_std,rel_error_min,rel_error_max
PQ,gist,1,4,4,500000,1000,1000000.0,10000,960,16,1,62.60072,15.750134,0.191874,43.670812,0.0438397601246833,0.0,4.383976012468338,0.0,10000000,0.357346458700191,0.0,0.1724957301897618,1.0546762041485637e-07,4.549602508544922
PQ,gist,1,6,6,500000,1000,1000000.0,10000,960,64,1,101.128238,15.36026,0.466635,55.045418,0.0978604331612587,0.0,9.78604331612587,0.0,10000000,0.3277805301084902,0.0,0.1627426535149736,0.0,1.988636374473572
PQ,gist,1,8,8,500000,1000,1000000.0,10000,960,256,1,70.251526,41.767256,1.439963,64.215218,0.0304715260863304,0.0,3.0471526086330414,0.0,10000000,0.3059653708174703,0.0,0.1531082967557235,2.924250566138653e-07,0.9723936915397644
PQ,gist,1,10,10,500000,1000,1000000.0,10000,960,1024,1,135.648043,85.269592,1.557085,76.666054,0.0733865275979042,0.0,7.33865275979042,0.0,10000000,0.2868345524584897,0.0,0.1464414463665337,0.0,0.894302487373352
PQ,gist,1,12,12,500000,1000,1000000.0,10000,960,4096,1,85.395467,74.295939,3.527993,69.948251,0.104377657175064,0.0,10.437765717506409,0.0,10000000,0.2701054397933694,0.0,0.1418619831691938,0.0,0.8580125570297241
PQ,gist,3,4,12,500000,1000,1000000.0,10000,960,16,1,81.873427,14.183149,0.596107,38.578047,0.0921924784779548,0.0,9.219247847795486,0.0,10000000,0.3281200619823914,0.0,0.1511481287863995,6.091642035244149e-08,3.473139524459839
PQ,gist,3,6,18,500000,1000,1000000.0,10000,960,64,1,143.327124,22.868885,1.322445,63.263821,0.261044979095459,0.0,26.1044979095459,0.0,10000000,0.2989012218869192,0.0,0.1408099477702108,3.484618389393291e-07,1.3817013502120972
PQ,gist,5,4,20,500000,1000,1000000.0,10000,960,16,1,88.257272,19.526595,0.909893,40.24559,0.1406470835208892,0.0,14.064708352088928,0.0,10000000,0.3232217223399551,0.0,0.1451986146387799,9.048542892742263e-08,4.13409423828125
PQ,gist,3,8,24,500000,1000,1000000.0,10000,960,256,1,160.418738,63.363293,1.643683,50.591444,0.0245698392391204,0.0,2.4569839239120483,0.0,10000000,0.276762367014179,0.0,0.1322545999154281,0.0,1.0298439264297483
PQ,gist,3,10,30,500000,1000,1000000.0,10000,960,1024,1,112.339448,56.41089,2.543722,78.219555,0.1440473273396492,0.0,14.40473273396492,0.0,10000000,0.2578891088874375,0.0,0.1249483214012954,0.0,0.8599274158477783
PQ,gist,5,6,30,500000,1000,1000000.0,10000,960,64,1,256.858976,36.953738,3.545185,75.98596,0.1497578546404838,0.0,14.975785464048386,0.0,10000000,0.2925450207606437,0.0,0.1336964642484245,7.128235779418901e-08,1.6782174110412598
PQ,gist,8,4,32,500000,1000,1000000.0,10000,960,16,1,122.545418,22.852516,1.648098,40.885847,0.222386434674263,0.0,22.2386434674263,0.0,10000000,0.3142609189066192,0.0,0.1395518870338187,0.0,3.816147565841675
PQ,gist,3,12,36,500000,1000,1000000.0,10000,960,4096,1,293.306473,124.12254,3.464383,60.180835,0.2266082987189293,0.0,22.66082987189293,0.0,10000000,0.2420485005495763,0.0,0.1205535283157894,0.0,0.7983483076095581
PQ,gist,5,8,40,500000,1000,1000000.0,10000,960,256,1,227.518246,62.583529,4.5334,74.015776,0.0407203212380409,0.0,4.072032123804092,0.0,10000000,0.2690344303884467,0.0,0.1256410731722054,2.495927446943824e-07,0.8686200976371765
PQ,gist,8,6,48,500000,1000,1000000.0,10000,960,64,1,309.688977,55.911515,4.419362,60.031403,0.2445569038391113,0.0,24.455690383911133,0.0,10000000,0.2815412300877019,0.0,0.1285170944091712,7.198752172143942e-08,1.522394061088562
PQ,gist,12,4,48,500000,1000,1000000.0,10000,960,16,1,157.525226,27.265406,2.079936,30.727065,0.3175392746925354,0.0,31.75392746925354,0.0,10000000,0.2961872999737417,0.0,0.1326075203504772,1.3474435434090992e-07,3.5649025440216064
PQ,gist,5,10,50,500000,1000,1000000.0,10000,960,1024,1,255.137598,63.958082,4.592679,70.133898,0.2278146222233772,0.0,22.781462222337723,0.0,10000000,0.2490780497707617,0.0,0.11820173343979,2.995027728047717e-07,0.7998471260070801
PQ,gist,5,12,60,500000,1000,1000000.0,10000,960,4096,1,257.462412,136.46399,5.501972,61.933688,0.3172969445586204,0.0,31.72969445586204,0.0,10000000,0.23133650615532,0.0,0.1125700868644376,0.0,0.8070542216300964
PQ,gist,8,8,64,500000,1000,1000000.0,10000,960,256,1,312.690107,52.631723,5.773449,58.124389,0.0366111919283866,0.0,3.661119192838669,0.0,10000000,0.2561902808381651,0.0,0.1194867762564639,1.0740367883954605e-07,0.8472185134887695
PQ,gist,12,6,72,500000,1000,1000000.0,10000,960,64,1,395.350058,49.514033,4.442683,58.446651,0.3864735960960388,0.0,38.64735960960388,0.0,10000000,0.2615736660636606,0.0,0.1215782816317695,6.800634366754822e-08,1.292952537536621
PQ,gist,8,10,80,500000,1000,1000000.0,10000,960,1024,1,484.764437,117.068223,15.621376,81.736253,0.3719776570796966,0.0,37.19776570796967,0.0,10000000,0.2358114372255604,0.0,0.1114882469193873,1.8277539481914573e-07,0.8066757917404175
PQ,gist,20,4,80,500000,1000,1000000.0,10000,960,16,1,369.905188,53.081008,5.413823,45.508731,0.5709941387176514,0.0,57.09941387176514,0.0,10000000,0.2741953809898675,0.0,0.1237533340968368,3.428972945584974e-07,3.2062504291534424
PQ,gist,8,12,96,500000,1000,1000000.0,10000,960,4096,2,42.3643945,34.491594,1.4127875,13.08288,0.4984617680311203,0.004929716672788848,49.84617680311203,0.4929716672788848,10000000,0.2163764552622238,0.0,0.1053555624235871,9.082424412554246e-08,0.728386640548706
PQ,gist,12,8,96,500000,1000,1000000.0,10000,960,256,1,560.174293,99.984023,12.407189,72.800497,0.0546696931123733,0.0,5.466969311237335,0.0,10000000,0.234728095379378,0.0,0.111647274337429,2.3025650364161265e-07,0.7952621579170227
PQ,gist,12,10,120,500000,1000,1000000.0,10000,960,1024,1,590.594586,127.107557,16.666853,75.412409,0.5122722014784813,0.0,51.22722014784813,0.0,10000000,0.2131636913648967,0.0,0.1030712968253065,1.9791526995049932e-07,0.7821693420410156
PQ,gist,20,6,120,500000,1000,1000000.0,10000,960,64,1,363.467388,65.356118,5.477151,45.241503,0.6232513934373856,0.0,62.32513934373856,0.0,10000000,0.2359753805538893,0.0,0.1117731712600708,1.303161809573794e-07,1.142686128616333
PQ,gist,12,12,144,500000,1000,1000000.0,10000,960,4096,1,410.481778,180.866176,8.117275,49.501838,0.7705255821347237,0.0,77.05255821347237,0.0,10000000,0.1930179273473183,0.0,0.0965457228984578,0.0,0.6369534730911255
PQ,gist,20,8,160,500000,1000,1000000.0,10000,960,256,1,340.720273,66.836957,11.669949,48.838561,0.0839814096689224,0.0,8.398140966892242,0.0,10000000,0.2065565723962831,0.0,0.0999592349361087,1.213897604657177e-07,0.740729033946991
PQ,gist,40,4,160,500000,1000,1000000.0,10000,960,16,1,699.101016,89.064419,10.895939,62.680097,1.0211263969540596,0.0,102.11263969540596,0.0,10000000,0.2442752788469952,0.0,0.1137075241907551,0.0,3.021440029144287
PQ,gist,20,10,200,500000,1000,1000000.0,10000,960,1024,1,772.169668,158.161886,23.283434,79.908902,0.8415661528706551,0.0,84.1566152870655,0.0,10000000,0.1838026175751468,0.0,0.090667299331443,1.925474180097808e-07,0.7025352716445923
PQ,gist,20,12,240,500000,1000,1000000.0,10000,960,4096,1,705.667367,393.157984,23.32664,65.530501,1.453399933874607,0.0,145.3399933874607,0.0,10000000,0.1635669151079959,0.0,0.0834750531396426,0.0,0.6673701405525208
PQ,gist,40,6,240,500000,1000,1000000.0,10000,960,64,1,692.060599,79.055534,11.450011,55.714552,1.1988118812441826,0.0,119.88118812441829,0.0,10000000,0.1992381326356875,0.0,0.0991065466267698,6.58562484545655e-08,1.0276706218719482
PQ,gist,60,4,240,500000,1000,1000000.0,10000,960,16,1,727.32931,120.337216,10.76192,33.7604,1.4739531576633451,0.0,147.39531576633453,0.0,10000000,0.2249737909014511,0.0,0.1098671619333401,0.0,3.0507655143737797
PQ,gist,40,8,320,500000,1000,1000000.0,10000,960,256,1,1173.316717,172.444544,19.94746,62.752739,0.1660820841789245,0.0,16.608208417892456,0.0,10000000,0.1669511218802001,0.0,0.0854962665160604,0.0,0.6943414211273193
PQ,gist,80,4,320,500000,1000,1000000.0,10000,960,16,1,1047.872844,20.60529,0.064433,23.400511,1.9329909086227417,0.0,193.29909086227417,0.0,10000000,0.2066022991310115,0.0,0.1047753810224314,0.0,3.167018175125122
PQ,gist,60,6,360,500000,1000,1000000.0,10000,960,64,1,891.492934,91.384947,7.934111,34.986623,1.7561781033873558,0.0,175.61781033873558,0.0,10000000,0.1760635421624207,0.0,0.094375765375823,0.0,0.9742884635925292
PQ,gist,40,10,400,500000,1000,1000000.0,10000,960,1024,1,1091.674633,283.00534,37.902695,127.010111,2.356084570288658,0.0,235.6084570288658,0.0,10000000,0.1422338232779157,0.0,0.0752786986785143,0.0,0.5983449816703796
PQ,gist,40,12,480,500000,1000,1000000.0,10000,960,4096,1,685.027972,379.278132,11.570034,21.707814,3.109050899744034,0.0,310.9050899744034,0.0,10000000,0.1211858350367347,0.0,0.0667135183408416,0.0,0.6146088242530823
PQ,gist,60,8,480,500000,1000,1000000.0,10000,960,256,1,1673.74706,293.557138,30.745094,65.044138,0.2998585850000381,0.0,29.98585850000381,0.0,10000000,0.1426603871684715,0.0,0.0803176262719012,0.0,0.6618617177009583
PQ,gist,80,6,480,500000,1000,1000000.0,10000,960,64,1,1031.948418,27.118113,0.043846,26.963976,2.5279125422239304,0.0,252.79125422239304,0.0,10000000,0.1551776478530468,0.0,0.0865151771901372,0.0,1.002490520477295
PQ,gist,120,4,480,500000,1000,1000000.0,10000,960,16,1,1140.827021,10.152843,0.039716,17.642314,2.8515805453062057,0.0,285.1580545306206,0.0,10000000,0.1701167998540213,0.0,0.0978412264001547,0.0,3.0578982830047607
PQ,gist,60,10,600,500000,1000,1000000.0,10000,960,1024,1,1370.482043,417.295527,46.285561,60.114914,4.070173963904381,0.0,407.0173963904381,0.0,10000000,0.1170944662156409,0.0,0.0686981213919154,0.0,0.6133400797843933
PQ,gist,80,8,640,500000,1000,1000000.0,10000,960,256,1,1894.431176,255.032408,0.507059,63.012162,0.4411338567733764,0.0,44.11338567733765,0.0,10000000,0.1206755851377676,0.0,0.0711126270472449,0.0,0.5920894742012024
PQ,gist,60,12,720,500000,1000,1000000.0,10000,960,4096,2,196.6335675,221.649396,9.774399,10.946873499999999,5.358592931181192,0.06569566781486319,535.8592931181192,6.56956678148632,10000000,0.0959093166439618,0.0,0.0591178855638243,0.0,0.506011962890625
PQ,gist,120,6,720,500000,1000,1000000.0,10000,960,64,1,1185.090431,22.136111,0.076773,14.707649,3.372913181781769,0.0,337.2913181781769,0.0,10000000,0.1169038132491089,0.0,0.0753396103046056,0.0,0.8873695135116577
PQ,gist,80,10,800,500000,1000,1000000.0,10000,960,1024,1,1864.102294,654.009238,1.915814,103.477426,3.6198801547288895,0.0,361.98801547288895,0.0,10000000,0.0948065372740164,0.0,0.0591323094790765,0.0,0.5551595091819763
PQ,gist,80,12,960,500000,1000,1000000.0,10000,960,4096,1,1786.43811,2193.2999,6.117188,58.975289,7.099632017314434,0.0,709.9632017314434,0.0,10000000,0.0750104632684461,0.0,0.0493990406268336,0.0,0.4765909314155578
PQ,gist,120,8,960,500000,1000,1000000.0,10000,960,256,1,2510.812544,278.653198,0.957762,87.201594,0.6664382964372635,0.0,66.64382964372635,0.0,10000000,0.0836374210025517,0.0,0.0578890295855333,0.0,0.5825498700141907
PQ,gist,120,10,1200,500000,1000,1000000.0,10000,960,1024,1,2506.015338,837.67047,2.489857,66.716759,5.227334342896938,0.0,522.7334342896938,0.0,10000000,0.0610249720235104,0.0,0.0448608881002546,0.0,0.477535992860794
PQ,gist,320,4,1280,500000,1000,1000000.0,10000,960,16,1,5165.494769,44.407091,0.104518,47.019504,7.24012016505003,0.0,724.012016505003,0.0,10000000,0.0769457810298938,0.0,0.0691704160606149,0.0,2.325924158096313
PQ,gist,120,12,1440,500000,1000,1000000.0,10000,960,4096,1,2366.549499,2079.381741,5.023631,42.142577,13.392526112496853,0.0,1339.2526112496853,0.0,10000000,0.0454030244662109,0.0,0.0353677715261439,0.0,0.4235187768936157
PQ,gist,320,6,1920,500000,1000,1000000.0,10000,960,64,1,5078.251461,76.968729,0.189763,43.83248,8.978277117013931,0.0,897.8277117013931,0.0,10000000,0.0378842967986149,0.0,0.0389288442832765,0.0,0.6247887015342712
PQ,gist,480,4,1920,500000,1000,1000000.0,10000,960,16,1,2100.817848,11.105535,0.031452,11.856846,10.864545799791811,0.0,1086.4545799791813,0.0,10000000,0.0425931999940659,0.0,0.0488088899599509,0.0,1.26603364944458
PQ,gist,320,8,2560,500000,1000,1000000.0,10000,960,256,1,4835.400721,210.061634,0.978118,45.477312,3.343300998210907,0.0,334.3300998210907,0.0,10000000,0.0202332518066698,0.0,0.0227779987929814,0.0,0.4538997411727905
PQ,gist,480,6,2880,500000,1000,1000000.0,10000,960,64,1,2081.763773,26.753436,0.24478,11.919105,13.20688496530056,0.0,1320.688496530056,0.0,10000000,0.0189102641758586,0.0,0.0249909597390246,0.0,0.5395953059196472
PQ,gist,320,10,3200,500000,1000,1000000.0,10000,960,1024,1,4691.728774,595.954265,3.051232,39.890919,22.19810827821493,0.0,2219.810827821493,0.0,10000000,0.0116408643414037,0.0,0.014357050274018,0.0,0.3596154451370239
PQ,gist,320,12,3840,500000,1000,1000000.0,10000,960,4096,1,4854.265844,1827.535095,12.843922,27.862858,44.14071035385132,0.0,4414.071035385132,0.0,10000000,0.0073366250773175,0.0,0.0099725144432247,0.0,0.3291783630847931
PQ,gist,480,8,3840,500000,1000,1000000.0,10000,960,256,1,6087.281596,192.151488,1.162272,49.082197,4.504872813820839,0.0,450.4872813820839,0.0,10000000,0.0094438389252658,0.0,0.0137416083776248,0.0,0.3843021690845489
PQ,gist,960,4,3840,500000,1000,1000000.0,10000,960,16,1,3607.890234,15.589007,0.074915,12.520693,21.71490428596735,0.0,2171.490428596735,0.0,10000000,0.0148041090257168,0.0,0.0262801870172228,0.0,0.6394554376602173
PQ,gist,480,10,4800,500000,1000,1000000.0,10000,960,1024,1,6273.339439,718.891305,3.321589,26.76908,34.38974712789059,0.0,3438.9747127890587,0.0,10000000,0.0048724887463755,0.0,0.008016723005671,0.0,0.3155536353588104
PQ,gist,480,12,5760,500000,1000,1000000.0,10000,960,4096,1,6165.908376,1680.702969,6.535123,16.492095,49.454958550632,0.0,4945.4958550632,0.0,10000000,0.0026875281334923,0.0,0.0052872310751961,0.0,0.2505621910095215
PQ,gist,960,6,5760,500000,1000,1000000.0,10000,960,64,1,8602.184861,62.854445,0.406111,13.189068,25.174078233540055,0.0,2517.407823354006,0.0,10000000,0.0071735742236082,0.0,0.0142907842662389,0.0,0.4379180371761322
