method,dataset,M,nbits,bits_per_vector,train_size,nq,nb_sample,dim,n_exports,distortion_error,distortion_count,spearman,spearman_query_count
PQ,gist,1,4,4,500000,1000,10000,960,1,1.1279321908950806,10000,0.6613579037775551,500
PQ,gist,1,6,6,500000,1000,10000,960,1,1.0746489763259888,10000,0.7222966308758383,500
PQ,gist,1,8,8,500000,1000,10000,960,1,1.033036708831787,10000,0.7716280481272486,500
PQ,gist,1,10,10,500000,1000,10000,960,1,1.0000191926956177,10000,0.8032522682774507,500
PQ,gist,1,12,12,500000,1000,10000,960,1,0.9746543765068054,10000,0.823120294540507,500
PQ,gist,3,4,12,500000,1000,10000,960,1,1.0779248476028442,10000,0.7696119433413274,500
PQ,gist,3,6,18,500000,1000,10000,960,1,1.0238804817199707,10000,0.8157427720361958,500
PQ,gist,5,4,20,500000,1000,10000,960,1,1.074377417564392,10000,0.7882548936198849,500
PQ,gist,3,8,24,500000,1000,10000,960,1,0.9813352823257446,10000,0.848872403677292,500
PQ,gist,3,10,30,500000,1000,10000,960,1,0.9472053647041321,10000,0.8733605994113339,500
PQ,gist,5,6,30,500000,1000,10000,960,1,1.0166641473770142,10000,0.83649880007962,500
PQ,gist,8,4,32,500000,1000,10000,960,1,1.0609402656555176,10000,0.8088534145003021,500
PQ,gist,3,12,36,500000,1000,10000,960,1,0.9202398657798767,10000,0.8868950810098709,500
PQ,gist,5,8,40,500000,1000,10000,960,1,0.9708505868911743,10000,0.8657229664295016,500
PQ,gist,8,6,48,500000,1000,10000,960,1,0.9987273216247559,10000,0.852133191413172,500
PQ,gist,12,4,48,500000,1000,10000,960,1,1.0310405492782593,10000,0.8336702596133426,500
PQ,gist,5,10,50,500000,1000,10000,960,1,0.9339379072189331,10000,0.8870244708371408,500
PQ,gist,5,12,60,500000,1000,10000,960,1,0.9044070243835449,10000,0.9025454779261347,500
PQ,gist,8,8,64,500000,1000,10000,960,1,0.9499548673629761,10000,0.8807614634854787,500
PQ,gist,12,6,72,500000,1000,10000,960,1,0.9642146229743958,10000,0.8711054633727027,500
PQ,gist,8,10,80,500000,1000,10000,960,1,0.9099193215370178,10000,0.90164500654165,500
PQ,gist,20,4,80,500000,1000,10000,960,1,0.9952002167701721,10000,0.8609413322547254,500
PQ,gist,8,12,96,500000,1000,10000,960,2,0.8774677515029907,10000,0.9167024894717609,500
PQ,gist,12,8,96,500000,1000,10000,960,1,0.9106743931770325,10000,0.8993298177854582,500
PQ,gist,12,10,120,500000,1000,10000,960,1,0.8668661117553711,10000,0.9187668298266124,500
PQ,gist,20,6,120,500000,1000,10000,960,1,0.9195719957351685,10000,0.8966873871303058,500
PQ,gist,12,12,144,500000,1000,10000,960,1,0.8312841057777405,10000,0.9322771245465792,500
PQ,gist,20,8,160,500000,1000,10000,960,1,0.8587043881416321,10000,0.9231954669903067,500
PQ,gist,40,4,160,500000,1000,10000,960,1,0.9430281519889832,10000,0.8906223473749594,500
PQ,gist,20,10,200,500000,1000,10000,960,1,0.8083179593086243,10000,0.9404424462862564,500
PQ,gist,20,12,240,500000,1000,10000,960,1,0.7671695351600647,10000,0.9519816982914729,500
PQ,gist,40,6,240,500000,1000,10000,960,1,0.8508803844451904,10000,0.9247682408706985,500
PQ,gist,60,4,240,500000,1000,10000,960,1,0.9068307876586914,10000,0.8989259324123393,500
PQ,gist,40,8,320,500000,1000,10000,960,1,0.7766802310943604,10000,0.948209306461277,500
PQ,gist,80,4,320,500000,1000,10000,960,1,0.8789201974868774,10000,0.9140437741470138,500
PQ,gist,60,6,360,500000,1000,10000,960,1,0.8019026517868042,10000,0.9319848884072409,500
PQ,gist,40,10,400,500000,1000,10000,960,1,0.7153886556625366,10000,0.9623248362132644,500
PQ,gist,40,12,480,500000,1000,10000,960,1,0.6650508046150208,10000,0.971778608596002,500
PQ,gist,60,8,480,500000,1000,10000,960,1,0.7182151079177856,10000,0.9549188562270686,500
PQ,gist,80,6,480,500000,1000,10000,960,1,0.7606043815612793,10000,0.9470794102808979,500
PQ,gist,120,4,480,500000,1000,10000,960,1,0.8053692579269409,10000,0.9301854132034141,500
PQ,gist,60,10,600,500000,1000,10000,960,1,0.6491127014160156,10000,0.9692113893552979,500
PQ,gist,80,8,640,500000,1000,10000,960,1,0.6665161848068237,10000,0.967278694274803,500
PQ,gist,60,12,720,500000,1000,10000,960,2,0.5924659371376038,10000,0.9782110157357262,500
PQ,gist,120,6,720,500000,1000,10000,960,1,0.6650279760360718,10000,0.9630928485488565,500
PQ,gist,80,10,800,500000,1000,10000,960,1,0.5893731117248535,10000,0.9791709560669015,500
PQ,gist,80,12,960,500000,1000,10000,960,1,0.5264537334442139,10000,0.9861227825783399,500
PQ,gist,120,8,960,500000,1000,10000,960,1,0.5563381314277649,10000,0.980123798467342,500
PQ,gist,120,10,1200,500000,1000,10000,960,1,0.4696628451347351,10000,0.9888492523220525,500
PQ,gist,320,4,1280,500000,1000,10000,960,1,0.5606337785720825,10000,0.977191198898328,500
PQ,gist,120,12,1440,500000,1000,10000,960,1,0.40114283561706543,10000,0.9935245834466537,500
PQ,gist,320,6,1920,500000,1000,10000,960,1,0.3691050410270691,10000,0.9939650505725545,500
PQ,gist,480,4,1920,500000,1000,10000,960,1,0.3970152735710144,10000,0.9906673592413456,500
PQ,gist,320,8,2560,500000,1000,10000,960,1,0.24448835849761963,10000,0.9982380931962849,500
PQ,gist,480,6,2880,500000,1000,10000,960,1,0.2238219976425171,10000,0.9981761349905452,500
PQ,gist,320,10,3200,500000,1000,10000,960,1,0.16213615238666534,10000,0.9993603140425951,500
PQ,gist,320,12,3840,500000,1000,10000,960,1,0.10949846357107162,10000,0.9997186256520343,500
PQ,gist,480,8,3840,500000,1000,10000,960,1,0.12583647668361664,10000,0.9995118269024943,500
PQ,gist,960,4,3840,500000,1000,10000,960,1,0.16212797164916992,10000,0.9988266117091141,500
PQ,gist,480,10,4800,500000,1000,10000,960,1,0.07063190639019012,10000,0.9998482948909309,500
PQ,gist,480,12,5760,500000,1000,10000,960,1,0.04029090702533722,10000,0.9999440871859768,500
PQ,gist,960,6,5760,500000,1000,10000,960,1,0.0779956579208374,10000,0.9996617231324333,500
PQ,gist,960,8,7680,500000,1000,10000,960,1,0.032689888030290604,10000,0.999925294953493,500
PQ,gist,960,10,9600,500000,1000,10000,960,1,0.010876702144742012,10000,0.9999867444206434,500
PQ,gist,960,12,11520,500000,1000,10000,960,1,0.0018819309771060944,10000,0.9999992731814967,500
