method,dataset,M,nbits,bits_per_vector,train_size,nq,nb,nb_sample,dim,n_centroids,n_exports,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s_mean,adc_time_s_std,per_pair_adc_time_ns_mean,per_pair_adc_time_ns_std,rel_error_count,rel_error_mean,rel_error_mean_std_across_exports,rel_error_std,rel_error_min,rel_error_max
PQ,msmarco,1,4,4,1000000,1000,1000000.0,10000,1024,16,1,33.411597,3.50335,0.070333,11.85961,0.0402958691120147,0.0,4.029586911201477,0.0,10000000,0.4507810205212306,0.0,0.0478816615781019,0.0005246518412604,0.7924568057060242
PQ,msmarco,1,6,6,1000000,1000,1000000.0,10000,1024,64,1,115.721509,16.382978,0.336408,36.552813,0.040896326303482,0.0,4.089632630348206,0.0,10000000,0.4294449320119147,0.0,0.0473282440406788,0.0001330322556896,0.7254760265350342
PQ,msmarco,1,8,8,1000000,1000,1000000.0,10000,1024,256,1,75.164334,11.474789,0.419631,27.672887,0.0154314190149307,0.0,1.5431419014930725,0.0,10000000,0.4050593402465124,0.0,0.0523117199918372,0.0006020300788804,0.676966667175293
PQ,msmarco,2,4,8,1000000,1000,1000000.0,10000,1024,16,1,93.065455,9.265431,0.351926,26.676413,0.0705967247486114,0.0,7.059672474861145,0.0,10000000,0.4472080169979089,0.0,0.0425197810335706,0.0009885574690997,0.7385934591293335
PQ,msmarco,1,10,10,1000000,1000,1000000.0,10000,1024,1024,1,151.301697,24.252828,1.020895,46.554254,0.0731721743941307,0.0,7.317217439413071,0.0,10000000,0.3722950707738461,0.0,0.0517907265024808,0.001137921703048,0.6818556785583496
PQ,msmarco,1,12,12,1000000,1000,1000000.0,10000,1024,4096,1,130.974466,17.340372,0.563806,30.866865,0.1110286340117454,0.0,11.102863401174544,0.0,10000000,0.3403771255575266,0.0,0.0546883471672704,7.222255953820422e-05,0.6780675649642944
PQ,msmarco,2,6,12,1000000,1000,1000000.0,10000,1024,64,1,107.802395,16.824009,0.52603,38.056818,0.0753327682614326,0.0,7.533276826143264,0.0,10000000,0.4243611378071399,0.0,0.0437373642450295,0.0001788106019375,0.6695050597190857
PQ,msmarco,2,8,16,1000000,1000,1000000.0,10000,1024,256,1,93.428635,12.360281,0.564629,28.463109,0.0193975418806076,0.0,1.9397541880607605,0.0,10000000,0.4012218976179328,0.0,0.0486289703031024,0.0021727893035858,0.6348190307617188
PQ,msmarco,4,4,16,1000000,1000,1000000.0,10000,1024,16,1,96.63995,10.76862,0.633383,23.800845,0.1152807474136352,0.0,11.528074741363524,0.0,10000000,0.4413654384171188,0.0,0.0388397221772425,0.0002927924797404,0.7146648168563843
PQ,msmarco,2,10,20,1000000,1000,1000000.0,10000,1024,1024,1,156.428048,28.004076,1.691693,46.178324,0.1115737780928611,0.0,11.157377809286118,0.0,10000000,0.3724921890628596,0.0,0.0503175092068289,0.000204466341529,0.6741071343421936
