method,dataset,M,nbits,bits_per_vector,train_size,nq,nb_sample,dim,n_exports,distortion_error,distortion_count,spearman,spearman_query_count
PQ,msmarco,1,4,4,1000000,1000,10000,1024,1,0.8922843933105469,10000,0.35911284969591245,500
PQ,msmarco,1,6,6,1000000,1000,10000,1024,1,0.8653908967971802,10000,0.4458348956291409,500
PQ,msmarco,1,8,8,1000000,1000,10000,1024,1,0.8337721824645996,10000,0.4376144157046642,500
PQ,msmarco,2,4,8,1000000,1000,10000,1024,1,0.8884375691413879,10000,0.427213102321139,500
PQ,msmarco,1,10,10,1000000,1000,10000,1024,1,0.8143799901008606,10000,0.49477292187156924,500
PQ,msmarco,1,12,12,1000000,1000,10000,1024,1,0.7925578355789185,10000,0.511760599055102,500
PQ,msmarco,2,6,12,1000000,1000,10000,1024,1,0.8635507822036743,10000,0.487442900681957,500
PQ,msmarco,2,8,16,1000000,1000,10000,1024,1,0.8314610123634338,10000,0.4869942677791506,500
PQ,msmarco,4,4,16,1000000,1000,10000,1024,1,0.8812205791473389,10000,0.4899647747725918,500
PQ,msmarco,2,10,20,1000000,1000,10000,1024,1,0.8092288970947266,10000,0.5142781748516537,500
PQ,msmarco,2,12,24,1000000,1000,10000,1024,1,0.7887526750564575,10000,0.539254099606037,500
PQ,msmarco,4,6,24,1000000,1000,10000,1024,1,0.8548258543014526,10000,0.5350315873030759,500
PQ,msmarco,4,8,32,1000000,1000,10000,1024,1,0.8267175555229187,10000,0.5513282197778901,500
PQ,msmarco,8,4,32,1000000,1000,10000,1024,1,0.865150511264801,10000,0.5586870400582383,500
PQ,msmarco,4,10,40,1000000,1000,10000,1024,1,0.8032795190811157,10000,0.5687034971639471,500
PQ,msmarco,4,12,48,1000000,1000,10000,1024,1,0.7810114622116089,10000,0.5857881161955452,500
PQ,msmarco,8,6,48,1000000,1000,10000,1024,2,0.8358317613601685,10000,0.6103991858426397,500
PQ,msmarco,8,8,64,1000000,1000,10000,1024,1,0.8059986233711243,10000,0.6309565458034456,500
PQ,msmarco,16,4,64,1000000,1000,10000,1024,1,0.8336186408996582,10000,0.6286431463968395,500
PQ,msmarco,8,10,80,1000000,1000,10000,1024,2,0.780038058757782,10000,0.6476349586500215,500
PQ,msmarco,8,12,96,1000000,1000,10000,1024,3,0.7574005126953125,10000,0.6555638271180864,500
PQ,msmarco,16,6,96,1000000,1000,10000,1024,1,0.7936275601387024,10000,0.6766947461181875,500
PQ,msmarco,16,8,128,1000000,1000,10000,1024,1,0.7569018006324768,10000,0.7081820621465487,500
PQ,msmarco,32,4,128,1000000,1000,10000,1024,1,0.7749699354171753,10000,0.7058623477510396,500
PQ,msmarco,16,10,160,1000000,1000,10000,1024,1,0.7245802879333496,10000,0.7343182578337666,500
PQ,msmarco,16,12,192,1000000,1000,10000,1024,1,0.696488618850708,10000,0.7473270569420225,500
PQ,msmarco,32,6,192,1000000,1000,10000,1024,1,0.7154074907302856,10000,0.7559739806130759,500
PQ,msmarco,32,8,256,1000000,1000,10000,1024,1,0.6633260846138,10000,0.7858780715559168,500
PQ,msmarco,64,4,256,1000000,1000,10000,1024,1,0.6780624985694885,10000,0.7845594566464744,500
PQ,msmarco,32,10,320,1000000,1000,10000,1024,1,0.6180329918861389,10000,0.8049596464024285,500
PQ,msmarco,32,12,384,1000000,1000,10000,1024,1,0.5778957009315491,10000,0.8244120786480967,500
PQ,msmarco,64,6,384,1000000,1000,10000,1024,1,0.5906977653503418,10000,0.8212241012351931,500
PQ,msmarco,64,8,512,1000000,1000,10000,1024,1,0.5187945365905762,10000,0.8453636392857563,500
PQ,msmarco,128,4,512,1000000,1000,10000,1024,1,0.5329591035842896,10000,0.8422595442717714,500
PQ,msmarco,64,10,640,1000000,1000,10000,1024,1,0.45833876729011536,10000,0.8728390350103185,500
PQ,msmarco,64,12,768,1000000,1000,10000,1024,1,0.40718206763267517,10000,0.9003293645169416,500
PQ,msmarco,128,6,768,1000000,1000,10000,1024,1,0.41900357604026794,10000,0.8879402006152579,500
PQ,msmarco,128,8,1024,1000000,1000,10000,1024,1,0.3345254957675934,10000,0.9276322856338668,500
PQ,msmarco,256,4,1024,1000000,1000,10000,1024,1,0.43646928668022156,10000,0.9007274044581141,500
PQ,msmarco,128,10,1280,1000000,1000,10000,1024,1,0.2712230086326599,10000,0.957030694170427,500
PQ,msmarco,128,12,1536,1000000,1000,10000,1024,1,0.2253105640411377,10000,0.9737713950486498,500
PQ,msmarco,256,6,1536,1000000,1000,10000,1024,1,0.3138200640678406,10000,0.9478228281890202,500
PQ,msmarco,256,8,2048,1000000,1000,10000,1024,1,0.227524071931839,10000,0.9733142782120228,500
PQ,msmarco,512,4,2048,1000000,1000,10000,1024,1,0.2814575433731079,10000,0.9553368161205842,500
PQ,msmarco,256,10,2560,1000000,1000,10000,1024,1,0.16470028460025787,10000,0.9862862689604547,500
PQ,msmarco,256,12,3072,1000000,1000,10000,1024,1,0.11949228495359421,10000,0.9930165777590857,500
PQ,msmarco,512,6,3072,1000000,1000,10000,1024,1,0.14875036478042603,10000,0.986528603753606,500
PQ,msmarco,512,8,4096,1000000,1000,10000,1024,1,0.07954518496990204,10000,0.9956695732155918,500
PQ,msmarco,1024,4,4096,1000000,1000,10000,1024,1,0.09856601804494858,10000,0.9910773597888216,500
PQ,msmarco,512,10,5120,1000000,1000,10000,1024,1,0.04375347122550011,10000,0.9985028582294126,500
PQ,msmarco,512,12,6144,1000000,1000,10000,1024,1,0.02425776608288288,10000,0.9994793116699612,500
PQ,msmarco,1024,6,6144,1000000,1000,10000,1024,1,0.037929341197013855,10000,0.9979790316282383,500
PQ,msmarco,1024,8,8192,1000000,1000,10000,1024,1,0.015492412261664867,10000,0.999486094571605,500
PQ,msmarco,1024,10,10240,1000000,1000,10000,1024,1,0.006392716895788908,10000,0.999864185279354,500
PQ,msmarco,1024,12,12288,1000000,1000,10000,1024,1,0.002319465158507228,10000,0.9999693316950933,500
