method,dataset,M,nbits,bits_per_vector,train_size,nq,nb,nb_sample,dim,n_centroids,n_exports,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s_mean,adc_time_s_std,per_pair_adc_time_ns_mean,per_pair_adc_time_ns_std,rel_error_count,rel_error_mean,rel_error_mean_std_across_exports,rel_error_std,rel_error_min,rel_error_max
PQ,openai,1,4,4,1000000,1000,1000000.0,10000,1536,16,1,196.109055,24.38223,0.218563,54.548192,0.0409288257360458,0.0,4.092882573604584,0.0,10000000,0.4540857749239578,0.0,0.0489386879063049,0.0002954859228339,10.397501945495604
PQ,openai,1,6,6,1000000,1000,1000000.0,10000,1536,64,1,112.038277,19.764319,0.239435,48.494626,0.0413393005728721,0.0,4.133930057287216,0.0,10000000,0.4263469734496453,0.0,0.0497424984623698,0.0009187794639728,10.351632118225098
PQ,openai,1,8,8,1000000,1000,1000000.0,10000,1536,256,1,158.462261,20.404419,0.165841,52.11414,0.0179139524698257,0.0,1.7913952469825745,0.0,10000000,0.3960595986347189,0.0,0.052037982449749,0.0007272890070453,9.360414505004885
PQ,openai,1,10,10,1000000,1000,1000000.0,10000,1536,1024,1,94.675132,17.876328,0.964225,41.98025,0.0833180248737335,0.0,8.331802487373352,0.0,10000000,0.3662112136067788,0.0,0.0530518091141224,0.0001848358951974,8.83987808227539
PQ,openai,1,12,12,1000000,1000,1000000.0,10000,1536,4096,1,209.33941,20.310479,0.479057,26.118753,0.1294415071606636,0.0,12.94415071606636,0.0,10000000,0.3377844555302356,0.0,0.0548421989015681,0.0007295392570085,7.161156177520752
PQ,openai,4,4,16,1000000,1000,1000000.0,10000,1536,16,1,211.542856,22.52982,0.821388,53.398763,0.1146298944950103,0.0,11.462989449501038,0.0,10000000,0.451739301446624,0.0,0.0450722691036578,0.0005097291432321,10.2791109085083
PQ,openai,4,6,24,1000000,1000,1000000.0,10000,1536,64,1,136.20458,23.592117,0.94816,50.289349,0.1451510936021804,0.0,14.515109360218048,0.0,10000000,0.4237123670058826,0.0,0.0456312459142476,0.0014252125984057,9.70107078552246
PQ,openai,4,8,32,1000000,1000,1000000.0,10000,1536,256,1,187.376572,23.410595,1.192712,51.778451,0.0211549699306488,0.0,2.1154969930648804,0.0,10000000,0.3931479191073427,0.0,0.0475803944405737,0.0005809872527606,9.23371696472168
PQ,openai,8,4,32,1000000,1000,1000000.0,10000,1536,16,1,277.293854,22.826168,1.588606,52.10959,0.2092625722289085,0.0,20.92625722289085,0.0,10000000,0.4486462687015571,0.0,0.0434011664174247,0.0005353292217478,10.055132865905762
PQ,openai,4,10,40,1000000,1000,1000000.0,10000,1536,1024,1,131.724807,24.375242,1.046483,43.527818,0.2180888652801513,0.0,21.808886528015137,0.0,10000000,0.3633525212743182,0.0,0.0486810659223603,0.0003156603197567,8.685344696044922
PQ,openai,4,12,48,1000000,1000,1000000.0,10000,1536,4096,1,253.708307,35.343089,1.126108,34.677637,0.3001513853669166,0.0,30.01513853669167,0.0,10000000,0.3350686062105837,0.0,0.0502191869499159,0.0001609965547686,7.740316867828369
PQ,openai,8,6,48,1000000,1000,1000000.0,10000,1536,64,1,174.135357,753.384536,1.111953,50.265385,0.2458850964903831,0.0,24.588509649038315,0.0,10000000,0.4199321513991915,0.0,0.0438688546902417,0.0009387459722347,9.69504737854004
PQ,openai,8,8,64,1000000,1000,1000000.0,10000,1536,256,1,236.372862,32.358399,2.807992,39.223285,0.0605571940541267,0.0,6.055719405412674,0.0,10000000,0.3895298661004011,0.0,0.045409954585432,0.0010813710978254,9.144556999206545
PQ,openai,16,4,64,1000000,1000,1000000.0,10000,1536,16,1,373.535248,40.0706,2.515363,48.916043,0.3959823995828628,0.0,39.598239958286285,0.0,10000000,0.4419784724014426,0.0,0.0418847108779217,6.327055598376319e-05,10.078245162963867
PQ,openai,8,10,80,1000000,1000,1000000.0,10000,1536,1024,1,175.889901,35.717569,2.731272,37.000843,0.3501147329807281,0.0,35.011473298072815,0.0,10000000,0.3594719075727869,0.0,0.0467383915751363,0.0034740746486932,8.358133316040039
PQ,openai,8,12,96,1000000,1000,1000000.0,10000,1536,4096,1,290.759758,54.599627,2.320417,24.975341,0.5139297544956207,0.0,51.39297544956207,0.0,10000000,0.3312485444759348,0.0,0.0478419815202115,0.0001606328587513,7.187168121337891
PQ,openai,16,6,96,1000000,1000,1000000.0,10000,1536,64,1,155.032954,18.030287,2.510474,31.979345,0.463388554751873,0.0,46.3388554751873,0.0,10000000,0.4119006408431244,0.0,0.0417901061999515,8.839293877827004e-05,9.578641891479492
PQ,openai,16,8,128,1000000,1000,1000000.0,10000,1536,256,1,297.96067,45.66843,4.397378,44.391525,0.074445404112339,0.0,7.444540411233902,0.0,10000000,0.3810487141606025,0.0,0.0426460990113141,0.0047740614973008,8.878545761108398
PQ,openai,32,4,128,1000000,1000,1000000.0,10000,1536,16,1,522.768814,48.68685,4.664282,45.441473,0.8424172848463058,0.0,84.24172848463058,0.0,10000000,0.4272931684922785,0.0,0.0404796397920032,3.8561825931537896e-05,9.720553398132324
PQ,openai,16,10,160,1000000,1000,1000000.0,10000,1536,1024,1,243.676024,46.745346,5.138117,36.950665,0.6866458058357239,0.0,68.66458058357239,0.0,10000000,0.3508824762509218,0.0,0.0437113927007044,0.002657723845914,8.172235488891602
PQ,openai,16,12,192,1000000,1000,1000000.0,10000,1536,4096,1,374.735224,92.218809,4.699813,25.276742,1.0545944646000862,0.0,105.45944646000862,0.0,10000000,0.322366776534024,0.0,0.0444330649182276,0.0001622479612706,6.842925548553467
PQ,openai,32,6,192,1000000,1000,1000000.0,10000,1536,64,1,277.364874,26.145761,2.521459,22.278586,0.974627397954464,0.0,97.4627397954464,0.0,10000000,0.3930725864235274,0.0,0.0395121036797126,0.0007771728560328,9.041062355041504
PQ,openai,32,8,256,1000000,1000,1000000.0,10000,1536,256,1,451.980784,53.912378,7.526283,38.251131,0.1300306096673011,0.0,13.003060966730118,0.0,10000000,0.3601705070905479,0.0,0.0392568635848678,0.0037463163025677,8.44449520111084
PQ,openai,64,4,256,1000000,1000,1000000.0,10000,1536,16,1,798.28433,70.185617,7.98013,43.361088,1.722523458302021,0.0,172.2523458302021,0.0,10000000,0.3971437900123791,0.0,0.0396835445683598,0.0002269726537633,8.894222259521484
PQ,openai,32,10,320,1000000,1000,1000000.0,10000,1536,1024,1,387.945372,71.965901,8.856498,32.611024,1.4370897486805916,0.0,143.70897486805916,0.0,10000000,0.3290934866751496,0.0,0.0392315383880505,0.0004672392387874,7.465521335601807
PQ,openai,32,12,384,1000000,1000,1000000.0,10000,1536,4096,2,436.52034649999996,127.740588,5.9632369999999995,21.184707,3.0024977773427963,0.017670245362298966,300.24977773427963,1.7670245362298493,10000000,0.2993246172401345,0.0,0.0390744768651797,0.0014133107615634,6.161026477813721
