method,dataset,M,nbits,bits_per_vector,train_size,nq,nb_sample,dim,n_exports,distortion_error,distortion_count,spearman,spearman_query_count
PQ,openai,1,4,4,1000000,1000,10000,1536,1,0.5268182158470154,10000,0.4083055560638716,500
PQ,openai,1,6,6,1000000,1000,10000,1536,1,0.5102297067642212,10000,0.46309282336340024,500
PQ,openai,1,8,8,1000000,1000,10000,1536,1,0.4914265275001526,10000,0.4980022206719502,500
PQ,openai,1,10,10,1000000,1000,10000,1536,1,0.4725736379623413,10000,0.5431603708570276,500
PQ,openai,1,12,12,1000000,1000,10000,1536,1,0.4557560682296753,10000,0.5714956094668361,500
PQ,openai,4,4,16,1000000,1000,10000,1536,1,0.5255013704299927,10000,0.4769686796097108,500
PQ,openai,4,6,24,1000000,1000,10000,1536,1,0.5087958574295044,10000,0.5225595230286032,500
PQ,openai,4,8,32,1000000,1000,10000,1536,1,0.4896858334541321,10000,0.5515588262767243,500
PQ,openai,8,4,32,1000000,1000,10000,1536,1,0.5236806273460388,10000,0.517056411530164,500
PQ,openai,4,10,40,1000000,1000,10000,1536,1,0.47081607580184937,10000,0.5889713635744737,500
PQ,openai,4,12,48,1000000,1000,10000,1536,1,0.4539613723754883,10000,0.6155466250270503,500
PQ,openai,8,6,48,1000000,1000,10000,1536,1,0.5065006613731384,10000,0.555680601537182,500
PQ,openai,8,8,64,1000000,1000,10000,1536,1,0.4874742329120636,10000,0.5817613402819575,500
PQ,openai,16,4,64,1000000,1000,10000,1536,1,0.5198553800582886,10000,0.5567574687641588,500
PQ,openai,8,10,80,1000000,1000,10000,1536,1,0.4684174656867981,10000,0.6140779190738831,500
PQ,openai,8,12,96,1000000,1000,10000,1536,1,0.45162472128868103,10000,0.6409072817434728,500
PQ,openai,16,6,96,1000000,1000,10000,1536,1,0.5017029643058777,10000,0.5974130866734508,500
PQ,openai,16,8,128,1000000,1000,10000,1536,1,0.48230352997779846,10000,0.6278628791073487,500
PQ,openai,32,4,128,1000000,1000,10000,1536,1,0.5112571716308594,10000,0.6125674237733622,500
PQ,openai,16,10,160,1000000,1000,10000,1536,1,0.4631863832473755,10000,0.6549226116238421,500
PQ,openai,16,12,192,1000000,1000,10000,1536,1,0.4464591443538666,10000,0.6804025613421857,500
PQ,openai,32,6,192,1000000,1000,10000,1536,1,0.4903790056705475,10000,0.6570365327759813,500
PQ,openai,32,8,256,1000000,1000,10000,1536,1,0.4694094657897949,10000,0.6905861033240451,500
PQ,openai,64,4,256,1000000,1000,10000,1536,1,0.4930866062641144,10000,0.6684796263707562,500
PQ,openai,32,10,320,1000000,1000,10000,1536,1,0.4494825601577759,10000,0.7190528141894481,500
PQ,openai,32,12,384,1000000,1000,10000,1536,2,0.4322402775287628,10000,0.7437409115838011,500
PQ,openai,64,6,384,1000000,1000,10000,1536,1,0.46484261751174927,10000,0.7180436784979647,500
PQ,openai,64,8,512,1000000,1000,10000,1536,1,0.43811893463134766,10000,0.7560049804659379,500
PQ,openai,128,4,512,1000000,1000,10000,1536,1,0.4565340280532837,10000,0.7267117863095657,500
PQ,openai,64,10,640,1000000,1000,10000,1536,1,0.4135018587112427,10000,0.7827900339262203,500
PQ,openai,64,12,768,1000000,1000,10000,1536,1,0.39118674397468567,10000,0.8081389485718695,500
PQ,openai,128,6,768,1000000,1000,10000,1536,1,0.41193217039108276,10000,0.772509099077419,500
PQ,openai,128,8,1024,1000000,1000,10000,1536,1,0.3705350458621979,10000,0.8086553633635135,500
PQ,openai,256,4,1024,1000000,1000,10000,1536,1,0.38477301597595215,10000,0.7818778614899144,500
PQ,openai,128,10,1280,1000000,1000,10000,1536,1,0.33311691880226135,10000,0.8427558657886866,500
PQ,openai,128,12,1536,1000000,1000,10000,1536,1,0.2996003031730652,10000,0.8844492477784445,500
PQ,openai,256,6,1536,1000000,1000,10000,1536,1,0.31250235438346863,10000,0.8492842901577708,500
PQ,openai,256,8,2048,1000000,1000,10000,1536,1,0.2532396614551544,10000,0.9184299424091076,500
PQ,openai,512,4,2048,1000000,1000,10000,1536,1,0.2650507688522339,10000,0.897770498058841,500
PQ,openai,256,10,2560,1000000,1000,10000,1536,1,0.20443201065063477,10000,0.9589236839668928,500
PQ,openai,256,12,3072,1000000,1000,10000,1536,1,0.16470211744308472,10000,0.9784569584274577,500
PQ,openai,512,6,3072,1000000,1000,10000,1536,1,0.17452700436115265,10000,0.9699467081060271,500
PQ,openai,768,4,3072,1000000,1000,10000,1536,1,0.18075355887413025,10000,0.9640080792178328,500
PQ,openai,512,8,4096,1000000,1000,10000,1536,1,0.11289943754673004,10000,0.9904092373948924,500
PQ,openai,768,6,4608,1000000,1000,10000,1536,1,0.0951765850186348,10000,0.9926244027212761,500
PQ,openai,512,10,5120,1000000,1000,10000,1536,1,0.07272808253765106,10000,0.9963907259494271,500
PQ,openai,512,12,6144,1000000,1000,10000,1536,1,0.04761010408401489,10000,0.9983974548166304,500
PQ,openai,768,8,6144,1000000,1000,10000,1536,1,0.050580427050590515,10000,0.9979271680649756,500
PQ,openai,1536,4,6144,1000000,1000,10000,1536,1,0.05829774960875511,10000,0.9961769521463935,500
PQ,openai,768,10,7680,1000000,1000,10000,1536,1,0.02762417681515217,10000,0.9993359599564555,500
PQ,openai,768,12,9216,1000000,1000,10000,1536,1,0.015223211608827114,10000,0.9997689736613857,500
PQ,openai,1536,6,9216,1000000,1000,10000,1536,1,0.022543884813785553,10000,0.9992168118350722,500
PQ,openai,1536,8,12288,1000000,1000,10000,1536,1,0.009168170392513275,10000,0.9998166810177429,500
PQ,openai,1536,10,15360,1000000,1000,10000,1536,1,0.0037509039975702763,10000,0.9999579785532038,500
PQ,openai,1536,12,18432,1000000,1000,10000,1536,1,0.001482129329815507,10000,0.9999901794147257,500
