dataset,M,K,setting_id,bits_per_vector,A,B,L,de,dh,metric_type,rel_error_mean,rel_error_std,status,zip_path
deep,12,1024,0,120.0,32,64,16.0,384.0,384.0,mse_proxy,0.112016,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_12_K_1024.zip
deep,12,16,0,48.0,16,16,16.0,384.0,384.0,mse_proxy,0.340844,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_12_K_16.zip
deep,12,256,0,96.0,32,64,16.0,384.0,384.0,mse_proxy,0.150963,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_12_K_256.zip
deep,12,4096,0,144.0,32,64,16.0,384.0,384.0,mse_proxy,0.0918057,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_12_K_4096.zip
deep,12,64,0,72.0,32,64,16.0,384.0,384.0,mse_proxy,0.221361,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_12_K_64.zip
deep,1,1024,0,10.0,32,64,16.0,384.0,384.0,mse_proxy,0.483653,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_1_K_1024.zip
deep,1,16,0,4.0,16,16,16.0,384.0,384.0,mse_proxy,0.704474,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_1_K_16.zip
deep,1,256,0,8.0,32,64,16.0,384.0,384.0,mse_proxy,0.53544,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_1_K_256.zip
deep,1,4096,0,12.0,32,64,16.0,384.0,384.0,mse_proxy,0.455294,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_1_K_4096.zip
deep,1,64,0,6.0,32,64,16.0,384.0,384.0,mse_proxy,0.609584,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/deep_M_1_K_64.zip
