dataset,M,K,setting_id,bits_per_vector,A,B,L,de,dh,metric_type,rel_error_mean,rel_error_std,status,zip_path
gist,1,1024,0,10.0,32,64,16.0,384.0,384.0,mse_proxy,1.16282,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_1_K_1024.zip
gist,1,16,0,4.0,16,16,16.0,384.0,384.0,mse_proxy,1.44973,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_1_K_16.zip
gist,1,256,0,8.0,32,64,16.0,384.0,384.0,mse_proxy,1.21748,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_1_K_256.zip
gist,1,4096,0,12.0,32,64,16.0,384.0,384.0,mse_proxy,1.14014,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_1_K_4096.zip
gist,1,64,0,6.0,32,64,16.0,384.0,384.0,mse_proxy,1.31108,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_1_K_64.zip
gist,2,1024,0,20.0,32,64,16.0,384.0,384.0,mse_proxy,0.989301,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_2_K_1024.zip
gist,2,16,0,8.0,16,16,16.0,384.0,384.0,mse_proxy,1.27791,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_2_K_16.zip
gist,2,256,0,16.0,32,64,16.0,384.0,384.0,mse_proxy,1.03973,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_2_K_256.zip
gist,2,4096,0,24.0,32,64,16.0,384.0,384.0,mse_proxy,0.972996,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_2_K_4096.zip
gist,2,64,0,12.0,32,64,16.0,384.0,384.0,mse_proxy,1.13341,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_2_K_64.zip
gist,320,1024,0,3200.0,32,64,16.0,384.0,384.0,mse_proxy,0.027483,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_320_K_1024.zip
gist,320,16,0,1280.0,16,16,16.0,384.0,384.0,mse_proxy,0.0995901,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_320_K_16.zip
gist,320,256,0,2560.0,32,64,16.0,384.0,384.0,mse_proxy,0.0337735,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_320_K_256.zip
gist,320,4096,0,3840.0,32,64,16.0,384.0,384.0,mse_proxy,0.105944,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_320_K_4096.zip
gist,320,64,0,1920.0,32,64,16.0,384.0,384.0,mse_proxy,0.0525846,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_320_K_64.zip
gist,40,1024,0,400.0,32,64,16.0,384.0,384.0,mse_proxy,0.314136,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_40_K_1024.zip
gist,40,16,0,160.0,16,16,16.0,384.0,384.0,mse_proxy,0.517199,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_40_K_16.zip
gist,40,256,0,320.0,32,64,16.0,384.0,384.0,mse_proxy,0.339344,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_40_K_256.zip
gist,40,4096,0,480.0,32,64,16.0,384.0,384.0,mse_proxy,0.30159,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_40_K_4096.zip
gist,40,64,0,240.0,32,64,16.0,384.0,384.0,mse_proxy,0.398851,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_40_K_64.zip
gist,480,1024,0,4800.0,32,64,16.0,384.0,384.0,mse_proxy,0.0175478,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_480_K_1024.zip
gist,480,16,0,1920.0,16,16,16.0,384.0,384.0,mse_proxy,0.0563231,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_480_K_16.zip
gist,480,256,0,3840.0,32,64,16.0,384.0,384.0,mse_proxy,0.016439,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_480_K_256.zip
gist,480,4096,0,5760.0,32,64,16.0,384.0,384.0,mse_proxy,0.105884,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_480_K_4096.zip
gist,480,64,0,2880.0,32,64,16.0,384.0,384.0,mse_proxy,0.0253925,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_480_K_64.zip
gist,4,1024,0,40.0,32,64,16.0,384.0,384.0,mse_proxy,0.827811,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_4_K_1024.zip
gist,4,16,0,16.0,16,16,16.0,384.0,384.0,mse_proxy,1.10232,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_4_K_16.zip
gist,4,256,0,32.0,32,64,16.0,384.0,384.0,mse_proxy,0.870964,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_4_K_256.zip
gist,4,4096,0,48.0,32,64,16.0,384.0,384.0,mse_proxy,0.817626,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_4_K_4096.zip
gist,4,64,0,24.0,32,64,16.0,384.0,384.0,mse_proxy,0.962122,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_4_K_64.zip
gist,60,1024,0,600.0,32,64,16.0,384.0,384.0,mse_proxy,0.23288,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_60_K_1024.zip
gist,60,16,0,240.0,16,16,16.0,384.0,384.0,mse_proxy,0.41749,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_60_K_16.zip
gist,60,256,0,480.0,32,64,16.0,384.0,384.0,mse_proxy,0.257528,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_60_K_256.zip
gist,60,4096,0,720.0,32,64,16.0,384.0,384.0,mse_proxy,0.219356,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_60_K_4096.zip
gist,60,64,0,360.0,32,64,16.0,384.0,384.0,mse_proxy,0.310023,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_60_K_64.zip
gist,8,1024,0,80.0,32,64,16.0,384.0,384.0,mse_proxy,0.671157,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_1024.zip
gist,8,16,0,32.0,16,16,16.0,384.0,384.0,mse_proxy,0.928677,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_16.zip
gist,8,256,0,64.0,32,64,16.0,384.0,384.0,mse_proxy,0.705447,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_256.zip
gist,8,256,1,64.0,32,64,,,,mse_proxy,0.762449,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_256.zip
gist,8,256,2,64.0,32,64,,,,mse_proxy,0.729153,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_256.zip
gist,8,256,3,64.0,32,64,,,,mse_proxy,0.705649,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_256.zip
gist,8,256,4,64.0,32,64,,,,mse_proxy,0.705612,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_256.zip
gist,8,256,5,64.0,32,64,,,,mse_proxy,0.705396,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_256.zip
gist,8,4096,0,96.0,32,64,16.0,384.0,384.0,mse_proxy,0.664119,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_4096.zip
gist,8,64,0,48.0,32,64,16.0,384.0,384.0,mse_proxy,0.790876,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_8_K_64.zip
gist,960,1024,0,9600.0,32,64,16.0,384.0,384.0,mse_proxy,0.0157314,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_960_K_1024.zip
gist,960,16,0,3840.0,16,16,16.0,384.0,384.0,mse_proxy,0.0150791,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_960_K_16.zip
gist,960,256,0,7680.0,32,64,16.0,384.0,384.0,mse_proxy,0.00794409,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_960_K_256.zip
gist,960,4096,0,11520.0,32,64,16.0,384.0,384.0,mse_proxy,0.105629,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_960_K_4096.zip
gist,960,64,0,5760.0,32,64,16.0,384.0,384.0,mse_proxy,0.00765398,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/gist_M_960_K_64.zip
