dataset,M,K,setting_id,bits_per_vector,A,B,L,de,dh,metric_type,rel_error_mean,rel_error_std,status,zip_path
msmarco,1024,1024,0,10240.0,32,64,16.0,384.0,384.0,mse_proxy,0.0100544,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1024_K_1024.zip
msmarco,1024,16,0,4096.0,16,16,16.0,384.0,384.0,mse_proxy,0.00634071,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1024_K_16.zip
msmarco,1024,256,0,8192.0,32,64,16.0,384.0,384.0,mse_proxy,0.00369963,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1024_K_256.zip
msmarco,1024,4096,0,12288.0,32,64,16.0,384.0,384.0,mse_proxy,0.084654,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1024_K_4096.zip
msmarco,1024,64,0,6144.0,32,64,16.0,384.0,384.0,mse_proxy,0.00250715,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1024_K_64.zip
msmarco,1,1024,0,10.0,32,64,16.0,384.0,384.0,mse_proxy,0.668593,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1_K_1024.zip
msmarco,1,16,0,4.0,16,16,16.0,384.0,384.0,mse_proxy,0.796937,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1_K_16.zip
msmarco,1,256,0,8.0,32,64,16.0,384.0,384.0,mse_proxy,0.702121,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1_K_256.zip
msmarco,1,4096,0,12.0,32,64,16.0,384.0,384.0,mse_proxy,0.654208,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1_K_4096.zip
msmarco,1,64,0,6.0,32,64,16.0,384.0,384.0,mse_proxy,0.744379,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_1_K_64.zip
msmarco,256,1024,0,2560.0,32,64,16.0,384.0,384.0,mse_proxy,0.0327276,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_256_K_1024.zip
msmarco,256,16,0,1024.0,16,16,16.0,384.0,384.0,mse_proxy,0.122955,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_256_K_16.zip
msmarco,256,256,0,2048.0,32,64,16.0,384.0,384.0,mse_proxy,0.0395737,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_256_K_256.zip
msmarco,256,4096,0,3072.0,32,64,16.0,384.0,384.0,mse_proxy,0.0846246,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_256_K_4096.zip
msmarco,256,64,0,1536.0,32,64,16.0,384.0,384.0,mse_proxy,0.0621995,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_256_K_64.zip
msmarco,2,1024,0,20.0,32,64,16.0,384.0,384.0,mse_proxy,0.604083,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_2_K_1024.zip
msmarco,2,16,0,8.0,16,16,16.0,384.0,384.0,mse_proxy,0.75935,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_2_K_16.zip
msmarco,2,256,0,16.0,32,64,16.0,384.0,384.0,mse_proxy,0.643604,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_2_K_256.zip
msmarco,2,4096,0,24.0,32,64,16.0,384.0,384.0,mse_proxy,0.596044,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_2_K_4096.zip
msmarco,2,64,0,12.0,32,64,16.0,384.0,384.0,mse_proxy,0.698495,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_2_K_64.zip
msmarco,32,1024,0,320.0,32,64,16.0,384.0,384.0,mse_proxy,0.312462,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_32_K_1024.zip
msmarco,32,16,0,128.0,16,16,16.0,384.0,384.0,mse_proxy,0.494455,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_32_K_16.zip
msmarco,32,256,0,256.0,32,64,16.0,384.0,384.0,mse_proxy,0.339077,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_32_K_256.zip
msmarco,32,4096,0,384.0,32,64,16.0,384.0,384.0,mse_proxy,0.303627,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_32_K_4096.zip
msmarco,32,64,0,192.0,32,64,16.0,384.0,384.0,mse_proxy,0.400969,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_32_K_64.zip
msmarco,4,1024,0,40.0,32,64,16.0,384.0,384.0,mse_proxy,0.550947,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_4_K_1024.zip
msmarco,4,16,0,16.0,16,16,16.0,384.0,384.0,mse_proxy,0.716712,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_4_K_16.zip
msmarco,4,256,0,32.0,32,64,16.0,384.0,384.0,mse_proxy,0.584852,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_4_K_256.zip
msmarco,4,4096,0,48.0,32,64,16.0,384.0,384.0,mse_proxy,0.548189,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_4_K_4096.zip
msmarco,4,64,0,24.0,32,64,16.0,384.0,384.0,mse_proxy,0.645727,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_4_K_64.zip
msmarco,512,1024,0,5120.0,32,64,16.0,384.0,384.0,mse_proxy,0.011379,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_512_K_1024.zip
msmarco,512,16,0,2048.0,16,16,16.0,384.0,384.0,mse_proxy,0.039084,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_512_K_16.zip
msmarco,512,256,0,4096.0,32,64,16.0,384.0,384.0,mse_proxy,0.0101322,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_512_K_256.zip
msmarco,512,4096,0,6144.0,32,64,16.0,384.0,384.0,mse_proxy,0.0845658,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_512_K_4096.zip
