method,dataset,experiment_folder,nq,nb,nb_sample,dim,n_subquantizers,nbits,bits_per_vector,train_size,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s,rel_error_mean,rel_error_std,reconstruction_error,reconstruction_error_time_s
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq1_nbits4_train1000000_20260208_225639,1000,1000000,10000,96,1,4,4,1000000,20.638839,2.359397,0.206237,2.709021,0.248241,0.377062,0.110244,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq2_nbits4_train1000000_20260208_225652,1000,1000000,10000,96,2,4,8,1000000,31.942399,3.338433,0.318859,2.429111,0.373618,0.365889,0.100277,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq3_nbits4_train1000000_20260208_225701,1000,1000000,10000,96,3,4,12,1000000,38.935335,5.608705,0.553039,2.746133,0.496028,0.352983,0.096824,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq4_nbits4_train1000000_20260208_225715,1000,1000000,10000,96,4,4,16,1000000,53.805563,5.221431,0.529059,2.458359,0.560207,0.342394,0.093249,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq6_nbits4_train1000000_20260208_225733,1000,1000000,10000,96,6,4,24,1000000,68.652858,7.166883,0.675777,2.347596,0.73516,0.320573,0.087718,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq8_nbits4_train1000000_20260208_225742,1000,1000000,10000,96,8,4,32,1000000,84.696847,2.135982,0.035949,1.996605,0.491836,0.298954,0.083609,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq12_nbits4_train1000000_20260208_225759,1000,1000000,10000,96,12,4,48,1000000,102.112492,1.888905,0.031771,1.308515,0.784858,0.257351,0.078774,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq16_nbits4_train1000000_20260208_225829,1000,1000000,10000,96,16,4,64,1000000,132.993258,1.197882,0.090454,1.348748,0.970625,0.219779,0.075541,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq24_nbits4_train1000000_20260208_225858,1000,1000000,10000,96,24,4,96,1000000,161.9877,1.3937,0.047267,1.038949,0.984625,0.15666,0.067257,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq32_nbits4_train1000000_20260208_225951,1000,1000000,10000,96,32,4,128,1000000,205.770346,3.514813,0.04693,3.471523,4.167677,0.110545,0.058734,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq1_nbits6_train1000000_20260208_225959,1000,1000000,10000,96,1,6,6,1000000,28.10113,3.685667,0.449374,3.238715,0.239122,0.322223,0.10545,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq2_nbits6_train1000000_20260208_230011,1000,1000000,10000,96,2,6,12,1000000,40.170163,4.841962,0.414279,2.231219,0.58083,0.310665,0.096814,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq3_nbits6_train1000000_20260208_230022,1000,1000000,10000,96,3,6,18,1000000,47.883802,6.424217,0.57292,2.984251,0.677181,0.297399,0.091208,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq4_nbits6_train1000000_20260208_230050,1000,1000000,10000,96,4,6,24,1000000,71.000018,10.915708,1.114793,3.229352,0.996363,0.285115,0.087105,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq1_nbits8_train1000000_20260208_230105,1000,1000000,10000,96,1,8,8,1000000,38.887158,6.519542,1.176821,5.998052,0.527595,0.280695,0.103319,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq6_nbits6_train1000000_20260208_230117,1000,1000000,10000,96,6,6,36,1000000,95.575371,12.514835,1.555876,4.155709,0.878811,0.25821,0.080965,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq8_nbits6_train1000000_20260208_230135,1000,1000000,10000,96,8,6,48,1000000,119.582246,5.683934,0.123743,4.52938,1.088339,0.233387,0.077031,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq2_nbits8_train1000000_20260208_230200,1000,1000000,10000,96,2,8,16,1000000,84.600654,12.335773,1.942581,7.014469,0.139887,0.267256,0.094393,,
