method,dataset,experiment_folder,nq,nb,nb_sample,dim,n_subquantizers,nbits,bits_per_vector,train_size,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s,rel_error_mean,rel_error_std,reconstruction_error,reconstruction_error_time_s
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq1_nbits4_train500000_20260209_005609,1000,1000000,10000,960,1,4,4,500000,62.60072,15.750134,0.191874,43.670812,0.24804,0.357346,0.172496,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq3_nbits4_train500000_20260209_005621,1000,1000000,10000,960,3,4,12,500000,81.873427,14.183149,0.596107,38.578047,0.414652,0.32812,0.151148,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq5_nbits4_train500000_20260209_005635,1000,1000000,10000,960,5,4,20,500000,88.257272,19.526595,0.909893,40.24559,0.922958,0.323222,0.145199,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq8_nbits4_train500000_20260209_005715,1000,1000000,10000,960,8,4,32,500000,122.545418,22.852516,1.648098,40.885847,0.708996,0.314261,0.139552,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq12_nbits4_train500000_20260209_005746,1000,1000000,10000,960,12,4,48,500000,157.525226,27.265406,2.079936,30.727065,1.481054,0.296187,0.132608,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq3_nbits12_train500000_20260209_011503,1000,1000000,10000,960,3,12,36,500000,293.306473,124.12254,3.464383,60.180835,1.858638,0.242047,0.120555,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq12_nbits8_train500000_20260209_011737,1000,1000000,10000,960,12,8,96,500000,560.174293,99.984023,12.407189,72.800497,1.75694,0.234728,0.111647,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq8_nbits10_train500000_20260209_011833,1000,1000000,10000,960,8,10,80,500000,484.764437,117.068223,15.621376,81.736253,5.545994,0.235809,0.111488,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq12_nbits10_train500000_20260209_011928,1000,1000000,10000,960,12,10,120,500000,590.594586,127.107557,16.666853,75.412409,6.156625,0.213164,0.103071,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq20_nbits10_train500000_20260209_012313,1000,1000000,10000,960,20,10,200,500000,772.169668,158.161886,23.283434,79.908902,7.221349,0.183803,0.090667,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq20_nbits12_train500000_20260209_012647,1000,1000000,10000,960,20,12,240,500000,705.667367,393.157984,23.32664,65.530501,13.581443,0.163567,0.083475,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq40_nbits8_train500000_20260209_012658,1000,1000000,10000,960,40,8,320,500000,1173.316717,172.444544,19.94746,62.752739,2.653165,0.166951,0.085496,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq40_nbits10_train500000_20260209_013229,1000,1000000,10000,960,40,10,400,500000,1091.674633,283.00534,37.902695,127.010111,13.331987,0.142234,0.075279,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq60_nbits8_train500000_20260209_013650,1000,1000000,10000,960,60,8,480,500000,1673.74706,293.557138,30.745094,65.044138,4.52264,0.14266,0.080318,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq60_nbits10_train500000_20260209_013712,1000,1000000,10000,960,60,10,600,500000,1370.482043,417.295527,46.285561,60.114914,18.208675,0.117094,0.068698,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq80_nbits8_train500000_20260209_014207,1000,1000000,10000,960,80,8,640,500000,1894.431176,255.032408,0.507059,63.012162,6.356808,0.120676,0.071113,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq80_nbits10_train500000_20260209_015028,1000,1000000,10000,960,80,10,800,500000,1864.102294,654.009238,1.915814,103.477426,61.696158,0.094806,0.059132,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq120_nbits8_train500000_20260209_015337,1000,1000000,10000,960,120,8,960,500000,2510.812544,278.653198,0.957762,87.201594,11.543074,0.083637,0.057889,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq120_nbits10_train500000_20260209_020259,1000,1000000,10000,960,120,10,1200,500000,2506.015338,837.67047,2.489857,66.716759,38.521984,0.061025,0.044861,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq80_nbits12_train500000_20260209_021504,1000,1000000,10000,960,80,12,960,500000,1786.43811,2193.2999,6.117188,58.975289,39.171494,0.07501,0.049399,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq320_nbits4_train500000_20260209_022240,1000,1000000,10000,960,320,4,1280,500000,5165.494769,44.407091,0.104518,47.019504,56.247806,0.076946,0.06917,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq120_nbits12_train500000_20260209_022501,1000,1000000,10000,960,120,12,1440,500000,2366.549499,2079.381741,5.023631,42.142577,47.437842,0.045403,0.035368,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq320_nbits6_train500000_20260209_022941,1000,1000000,10000,960,320,6,1920,500000,5078.251461,76.968729,0.189763,43.83248,52.241713,0.037884,0.038929,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq320_nbits8_train500000_20260209_023012,1000,1000000,10000,960,320,8,2560,500000,4835.400721,210.061634,0.978118,45.477312,13.066701,0.020233,0.022778,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq320_nbits10_train500000_20260209_023723,1000,1000000,10000,960,320,10,3200,500000,4691.728774,595.954265,3.051232,39.890919,92.918038,0.011641,0.014357,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq480_nbits8_train500000_20260209_025055,1000,1000000,10000,960,480,8,3840,500000,6087.281596,192.151488,1.162272,49.082197,18.291035,0.009444,0.013742,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq320_nbits12_train500000_20260209_030301,1000,1000000,10000,960,320,12,3840,500000,4854.265844,1827.535095,12.843922,27.862858,147.810241,0.007337,0.009973,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq480_nbits10_train500000_20260209_030444,1000,1000000,10000,960,480,10,4800,500000,6273.339439,718.891305,3.321589,26.76908,110.867757,0.004872,0.008017,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq480_nbits12_train500000_20260209_031937,1000,1000000,10000,960,480,12,5760,500000,6165.908376,1680.702969,6.535123,16.492095,84.993943,0.002688,0.005287,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq960_nbits6_train500000_20260209_032836,1000,1000000,10000,960,960,6,5760,500000,8602.184861,62.854445,0.406111,13.189068,108.579769,0.007174,0.014291,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq960_nbits8_train500000_20260209_032852,1000,1000000,10000,960,960,8,7680,500000,8564.011226,167.927626,0.994076,14.600807,19.34544,0.002947,0.007156,,
