method,dataset,experiment_folder,nq,nb,nb_sample,dim,n_subquantizers,nbits,bits_per_vector,train_size,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s,rel_error_mean,rel_error_std,reconstruction_error,reconstruction_error_time_s
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1_nbits4_train1000000_20260209_133240,1000,1000000,10000,1536,1,4,4,1000000,196.109055,24.38223,0.218563,54.548192,0.254497,0.454087,0.048939,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq4_nbits4_train1000000_20260209_133253,1000,1000000,10000,1536,4,4,16,1000000,211.542856,22.52982,0.821388,53.398763,0.751717,0.451739,0.045072,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq8_nbits4_train1000000_20260209_133401,1000,1000000,10000,1536,8,4,32,1000000,277.293854,22.826168,1.588606,52.10959,0.87361,0.448646,0.043401,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq16_nbits4_train1000000_20260209_133552,1000,1000000,10000,1536,16,4,64,1000000,373.535248,40.0706,2.515363,48.916043,1.391462,0.441979,0.041885,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq32_nbits4_train1000000_20260209_133829,1000,1000000,10000,1536,32,4,128,1000000,522.768814,48.68685,4.664282,45.441473,2.380817,0.427293,0.04048,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq64_nbits4_train1000000_20260209_134330,1000,1000000,10000,1536,64,4,256,1000000,798.28433,70.185617,7.98013,43.361088,4.670023,0.397144,0.039684,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq128_nbits4_train1000000_20260209_135023,1000,1000000,10000,1536,128,4,512,1000000,1246.159342,29.95999,0.060071,48.643812,11.77988,0.340005,0.039056,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq256_nbits4_train1000000_20260209_140402,1000,1000000,10000,1536,256,4,1024,1000000,2098.060165,20.81253,0.029369,27.649857,10.751998,0.240855,0.038438,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq512_nbits4_train1000000_20260209_142548,1000,1000000,10000,1536,512,4,2048,1000000,3406.783538,20.754199,0.052226,21.844993,15.023576,0.113714,0.030648,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq768_nbits4_train1000000_20260209_144231,1000,1000000,10000,1536,768,4,3072,1000000,4410.02069,17.284416,0.048371,20.2978,20.154214,0.052639,0.019858,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1536_nbits4_train1000000_20260209_153837,1000,1000000,10000,1536,1536,4,6144,1000000,7768.956726,16.848396,0.063458,17.999784,27.644966,0.011207,0.006373,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1_nbits6_train1000000_20260209_160814,1000,1000000,10000,1536,1,6,6,1000000,112.038277,19.764319,0.239435,48.494626,0.189353,0.426347,0.049742,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq4_nbits6_train1000000_20260209_162035,1000,1000000,10000,1536,4,6,24,1000000,136.20458,23.592117,0.94816,50.289349,0.361416,0.423712,0.045631,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq8_nbits6_train1000000_20260209_162137,1000,1000000,10000,1536,8,6,48,1000000,174.135357,753.384536,1.111953,50.265385,0.568546,0.419932,0.043869,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq64_nbits6_train1000000_20260209_163403,1000,1000000,10000,1536,64,6,384,1000000,1569.436253,96.100417,8.726682,48.299412,6.188072,0.352759,0.038209,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq128_nbits6_train1000000_20260209_164458,1000,1000000,10000,1536,128,6,768,1000000,2286.439654,46.799695,0.146426,41.95843,9.597458,0.276315,0.037761,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq256_nbits6_train1000000_20260209_170138,1000,1000000,10000,1536,256,6,1536,1000000,3293.195712,46.479327,0.129881,29.720962,15.880601,0.158254,0.034838,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq512_nbits6_train1000000_20260209_172657,1000,1000000,10000,1536,512,6,3072,1000000,4810.333898,38.864481,0.139784,32.66631,21.393584,0.049291,0.018235,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq768_nbits6_train1000000_20260209_174641,1000,1000000,10000,1536,768,6,4608,1000000,6004.46193,38.77571,0.128812,20.748059,24.279582,0.016908,0.008882,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1536_nbits6_train1000000_20260209_185541,1000,1000000,10000,1536,1536,6,9216,1000000,9985.376407,97.127497,0.421179,29.84802,115.867896,0.003842,0.002684,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1_nbits8_train1000000_20260209_190034,1000,1000000,10000,1536,1,8,8,1000000,158.462261,20.404419,0.165841,52.11414,0.192494,0.39606,0.052038,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq4_nbits8_train1000000_20260209_190107,1000,1000000,10000,1536,4,8,32,1000000,187.376572,23.410595,1.192712,51.778451,0.285349,0.393148,0.04758,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq8_nbits8_train1000000_20260209_190155,1000,1000000,10000,1536,8,8,64,1000000,236.372862,32.358399,2.807992,39.223285,0.39564,0.38953,0.04541,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq16_nbits8_train1000000_20260209_190315,1000,1000000,10000,1536,16,8,128,1000000,297.96067,45.66843,4.397378,44.391525,0.725736,0.381049,0.042646,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq32_nbits8_train1000000_20260209_190554,1000,1000000,10000,1536,32,8,256,1000000,451.980784,53.912378,7.526283,38.251131,0.840667,0.360171,0.039257,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq64_nbits8_train1000000_20260209_191029,1000,1000000,10000,1536,64,8,512,1000000,698.758452,84.237414,8.070668,33.476495,1.41109,0.31273,0.03703,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq128_nbits8_train1000000_20260209_191731,1000,1000000,10000,1536,128,8,1024,1000000,1110.514104,97.174167,0.310208,29.316307,2.587856,0.222559,0.036487,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq256_nbits8_train1000000_20260209_193929,1000,1000000,10000,1536,256,8,2048,1000000,2342.503155,171.51091,0.21119,44.431005,8.039288,0.103568,0.027866,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq512_nbits8_train1000000_20260209_200135,1000,1000000,10000,1536,512,8,4096,1000000,3734.940909,109.471469,0.41899,21.754963,7.776023,0.021866,0.01027,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq768_nbits8_train1000000_20260209_201602,1000,1000000,10000,1536,768,8,6144,1000000,4617.465977,111.257893,0.540631,20.332239,11.51806,0.007905,0.004528,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1536_nbits8_train1000000_20260209_210259,1000,1000000,10000,1536,1536,8,12288,1000000,7394.901243,130.872631,0.755611,17.927911,20.577463,0.001303,0.001133,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1_nbits10_train1000000_20260209_210604,1000,1000000,10000,1536,1,10,10,1000000,94.675132,17.876328,0.964225,41.98025,0.125718,0.366212,0.053052,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq4_nbits10_train1000000_20260209_210650,1000,1000000,10000,1536,4,10,40,1000000,131.724807,24.375242,1.046483,43.527818,0.450519,0.363353,0.048681,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq8_nbits10_train1000000_20260209_210746,1000,1000000,10000,1536,8,10,80,1000000,175.889901,35.717569,2.731272,37.000843,0.870665,0.359472,0.046738,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq16_nbits10_train1000000_20260209_210902,1000,1000000,10000,1536,16,10,160,1000000,243.676024,46.745346,5.138117,36.950665,1.377903,0.350882,0.043712,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq32_nbits10_train1000000_20260209_211154,1000,1000000,10000,1536,32,10,320,1000000,387.945372,71.965901,8.856498,32.611024,3.086818,0.329093,0.039232,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq64_nbits10_train1000000_20260209_211612,1000,1000000,10000,1536,64,10,640,1000000,593.773849,119.199757,15.603152,28.950177,4.917197,0.276229,0.03629,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq128_nbits10_train1000000_20260209_212534,1000,1000000,10000,1536,128,10,1280,1000000,990.514513,301.486751,0.753768,23.448798,8.49706,0.177786,0.034692,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq256_nbits10_train1000000_20260209_213737,1000,1000000,10000,1536,256,10,2560,1000000,1686.934645,318.903416,0.975984,22.111786,16.671329,0.067154,0.020951,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq512_nbits10_train1000000_20260209_215942,1000,1000000,10000,1536,512,10,5120,1000000,2950.997949,366.738314,1.354576,19.965729,34.542144,0.011825,0.00612,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq768_nbits10_train1000000_20260209_221602,1000,1000000,10000,1536,768,10,7680,1000000,3899.342643,385.033565,1.773926,19.262273,47.675205,0.003655,0.002402,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1536_nbits10_train1000000_20260209_225325,1000,1000000,10000,1536,1536,10,15360,1000000,6010.705069,487.735969,2.861585,17.931607,77.607167,0.000509,0.000527,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1_nbits12_train1000000_20260209_225806,1000,1000000,10000,1536,1,12,12,1000000,209.33941,20.310479,0.479057,26.118753,0.202251,0.337785,0.054842,,
