method,dataset,d,bit_per_dim,K,n_base,n_query,mse_distortion,l2_rel_err_mean,spearman_mean,spearman_std,spearman_p10,spearman_p50,spearman_p90,setup_time_s,encode_time_s,spearman_time_s,total_time_s
TQMSE,deep,96,1,2,10000,1000,0.3602015972137451,0.5994808673858643,0.8477089972788712,0.03895383088194913,0.7965055951380795,0.8542926046015913,0.892923812803767,6.803615218028426,1.5896647851914167,1.243353009223938,9.64187366142869
TQMSE,deep,96,2,4,10000,1000,0.11601633578538895,0.33965030312538147,0.9160580919523655,0.027255744701881066,0.8807171137785312,0.921330021633907,0.947443436030395,0.004493562504649162,0.010038124397397041,0.9480062816292048,0.9643212463706732
TQMSE,deep,96,3,8,10000,1000,0.033822931349277496,0.18297681212425232,0.9647405130237078,0.013069159666771935,0.9482089692172309,0.967144525123826,0.9794043143300718,0.004462253302335739,0.008148552849888802,0.9516470115631819,0.9661166723817587
TQMSE,deep,96,4,16,10000,1000,0.009290328249335289,0.09568952769041061,0.9883095815479911,0.004659268385379243,0.9825528217716517,0.9891137694881642,0.9934699453021665,0.0037352200597524643,0.008013676851987839,1.07148989289999,1.0852296818047762
TQMSE,deep,96,5,32,10000,1000,0.0024404225405305624,0.04895339533686638,0.99665929158021,0.001373153503009611,0.9949633137678948,0.9968948126832571,0.9981458838645852,0.004395976662635803,0.010020583868026733,1.2390583213418722,1.255773477256298
TQMSE,deep,96,6,64,10000,1000,0.0006943125044927001,0.02592889405786991,0.998794652627066,0.0004996617665322181,0.9981767275032416,0.9988820609972553,0.9993375502125383,0.005061343312263489,0.008024053648114204,1.0291532929986715,1.044191349297762
TQMSE,deep,96,7,128,10000,1000,0.00025356069090776145,0.015488794073462486,0.9994548668460388,0.0002275100941179181,0.9991749295267823,0.9994949218384168,0.9997051157578405,0.004805965349078178,0.007704382762312889,0.9632010255008936,0.9776941873133183
TQMSE,deep,96,8,256,10000,1000,9.762780973687768e-05,0.009450203739106655,0.9997446752644077,0.00010866083130966097,0.9996090145950535,0.9997644310426289,0.9998624860841191,0.00397104024887085,0.00825478509068489,0.9584000706672668,0.9722844418138266
TQMSE,deep,96,9,512,10000,1000,3.985183502663858e-05,0.005869133397936821,0.9998760745032771,5.31457522807215e-05,0.9998096525486885,0.9998856774583493,0.9999345984261419,0.005427053198218346,0.007943535223603249,1.229653149843216,1.2452205494046211
TQMSE,deep,96,10,1024,10000,1000,1.6457757737953216e-05,0.00361426267772913,0.999941562819559,2.4874113631667395e-05,0.9999100670727951,0.9999461983294591,0.999969027304289,0.00611693412065506,0.006816387176513672,1.011130040511489,1.0255758725106716
TQMSE,bigann,128,1,2,10000,1000,91958.3203125,0.5956138372421265,0.8730935776549035,0.033775994777305716,0.8275221395229772,0.8755647920863551,0.9152240262001117,6.086588462814689,2.3133692666888237,1.2801468316465616,9.683810792863369
TQMSE,bigann,128,2,4,10000,1000,29039.357421875,0.3343033194541931,0.9538478516102085,0.012942577700542498,0.936482284688761,0.9547747098648457,0.97005795157206,0.00536864809691906,0.02313421480357647,1.2684335075318813,1.2989457827061415
TQMSE,bigann,128,3,8,10000,1000,8482.6572265625,0.18046431243419647,0.9832751266809135,0.004877280896666671,0.9767024236636234,0.9837680387198223,0.989356568553555,0.004720473662018776,0.01028384268283844,1.1998861022293568,1.2169273886829615
TQMSE,bigann,128,4,16,10000,1000,2336.491943359375,0.09462377429008484,0.9949287751907082,0.001513869925581603,0.9928497931225144,0.9950813613654492,0.996799759962888,0.006457295268774033,0.014290997758507729,1.251030994579196,1.2734812647104263
TQMSE,bigann,128,5,32,10000,1000,615.4815673828125,0.04853013902902603,0.998589527863505,0.0004193868288097722,0.9980151010262307,0.9986374498738833,0.999106751988335,0.004758553579449654,0.026937656104564667,0.9654125235974789,1.056266339495778
TQMSE,bigann,128,6,64,10000,1000,173.0829620361328,0.025652730837464333,0.999530293270276,0.0001424480559999329,0.9993344183118409,0.999545655705596,0.9997034406626503,0.004173971712589264,0.0369743425399065,0.9672765377908945,1.0691124126315117
TQMSE,bigann,128,7,128,10000,1000,61.25891876220703,0.01518217008560896,0.9998051694312206,5.965761989436604e-05,0.9997241666607752,0.9998125782139872,0.9998781185526047,0.004256023094058037,0.026036793366074562,1.2653818763792515,1.3555585332214832
TQMSE,bigann,128,8,256,10000,1000,23.003250122070312,0.009230280295014381,0.9999146437186804,2.573054325575925e-05,0.9998801929619837,0.9999177892471176,0.9999456945430224,0.005346892401576042,0.025352539494633675,0.9625964406877756,1.0528994351625443
TQMSE,bigann,128,9,512,10000,1000,8.961546897888184,0.005653057713061571,0.9999610257771528,1.1895485958835005e-05,0.9999450513003909,0.9999625140620938,0.9999752145988352,0.004407806321978569,0.026890400797128677,0.9663615431636572,1.057662021368742
TQMSE,bigann,128,10,1024,10000,1000,3.4852452278137207,0.0034129952546209097,0.9999822018178172,5.475276275605759e-06,0.9999748831144294,0.9999829943708161,0.9999886134092796,0.00975947268307209,0.024880604818463326,0.9601307269185781,1.053351515904069
TQMSE,gist,960,1,2,10000,1000,2.4735944271087646,0.6084938645362854,0.9804834981841883,0.010156808481172128,0.968731340918142,0.9786563285484463,0.996191423070529,7.7795579470694065,2.6191051453351974,2.1201585736125708,12.575875986367464
TQMSE,gist,960,2,4,10000,1000,0.7811161279678345,0.34186869859695435,0.9937885769707435,0.00259368967194636,0.9909010424945466,0.9933026435036911,0.997906882628854,0.005694009363651276,0.0645061731338501,1.0107336789369583,1.146848076954484
TQMSE,gist,960,3,8,10000,1000,0.22656965255737305,0.18420401215553284,0.9981146961034996,0.0006807063071376533,0.9973500737452817,0.9979867052784339,0.999199090818444,0.006165551021695137,0.050739116966724396,0.9700301717966795,1.0394265241920948
TQMSE,gist,960,4,16,10000,1000,0.06210107356309891,0.09649182111024857,0.9994287533955096,0.00019255540238068353,0.9992112811151411,0.9993934815456509,0.9997331730453123,0.006553640589118004,0.05083807744085789,0.9666732959449291,1.0338095482438803
TQMSE,gist,960,5,32,10000,1000,0.016414497047662735,0.049619488418102264,0.999838375537196,5.048386852303819e-05,0.999780489197896,0.9998296000282116,0.9999185416228498,0.006505198776721954,0.04461812041699886,0.963032079860568,1.026959016919136
TQMSE,gist,960,6,64,10000,1000,0.0046675000339746475,0.026441846042871475,0.999947915370742,1.4497493393023518e-05,0.999930939900874,0.999945451575428,0.9999705527511926,0.004881156608462334,0.051988041028380394,0.9749679584056139,1.0927763916552067
TQMSE,gist,960,7,128,10000,1000,0.001699099550023675,0.01593439280986786,0.9999782065992996,5.463110031553665e-06,0.9999718388521048,0.999977289594762,0.99998656164356,0.005447963252663612,0.04974587820470333,1.1342421751469374,1.2536414060741663
TQMSE,gist,960,8,256,10000,1000,0.0006623608060181141,0.009933258406817913,0.9999902181437225,2.2918033257182737e-06,0.9999874706732683,0.9999898419383935,0.9999936411363336,0.005661755800247192,0.03159619867801666,1.2424197532236576,1.2975601498037577
TQMSE,gist,960,9,512,10000,1000,0.00026800757041200995,0.006290498189628124,0.9999955425582563,1.0101704027816266e-06,0.9999942831069403,0.9999954367884523,0.9999969661539685,0.005795670673251152,0.04833902046084404,1.0094926487654448,1.1248116195201874
TQMSE,gist,960,10,1024,10000,1000,0.00010944702808046713,0.003986960276961327,0.9999978563302016,4.808675852792945e-07,0.9999972448368711,0.9999978302394772,0.9999984741261841,0.005995988845825195,0.04938541539013386,0.9593691881746054,1.027073297649622
TQMSE,msmarco,1024,1,2,10000,1000,0.3631473779678345,0.6025524139404297,0.9165446174362034,0.024965388423990466,0.8856774448740922,0.9149927850288841,0.9511928448392941,3.8917323518544436,1.302349079400301,1.4753410033881664,6.747313313186169
TQMSE,msmarco,1024,2,4,10000,1000,0.11735460162162781,0.3424740135669708,0.9621844280757048,0.01245936875689812,0.9465721436145744,0.9618364251054716,0.9790460708244195,0.0019257552921772003,0.05071631632745266,0.9624099005013704,1.083384407684207
TQMSE,msmarco,1024,3,8,10000,1000,0.034506089985370636,0.18565019965171814,0.9847941397839929,0.0052349842823064645,0.9780873202663842,0.984791760292661,0.9918017158481531,0.001518450677394867,0.04701760411262512,0.9830572437494993,1.0978851970285177
TQMSE,msmarco,1024,4,16,10000,1000,0.009494061581790447,0.09733521938323975,0.9953138478443877,0.001647565352201325,0.9931848079252344,0.9953258843927821,0.9975032723562758,0.0015796050429344177,0.04995444416999817,1.2646933291107416,1.345400258898735
TQMSE,msmarco,1024,5,32,10000,1000,0.0025021377950906754,0.049934182316064835,0.9986253586822834,0.000484221327548423,0.9979920411719229,0.9986255253966172,0.9992653148980957,0.001955188810825348,0.06357660330832005,1.1537509504705667,1.278745099902153
TQMSE,msmarco,1024,6,64,10000,1000,0.0007156799547374249,0.026646720245480537,0.999506536629988,0.00017637965337534788,0.99927519879807,0.9995067390830275,0.9997387747366715,0.0016103051602840424,0.03770648501813412,0.9743525125086308,1.027012525126338
TQMSE,msmarco,1024,7,128,10000,1000,0.000262686051428318,0.016083907335996628,0.9997761042473181,8.041479915772136e-05,0.9996728955465993,0.9997767071807511,0.9998824924117181,0.0016407053917646408,0.03755909018218517,0.9828482996672392,1.0358427129685879
TQMSE,msmarco,1024,8,256,10000,1000,0.00010380901221651584,0.01005166582763195,0.9998937796072074,3.8235946449924e-05,0.9998434811409158,0.9998933523764254,0.9999439564357346,0.001717638224363327,0.05883665569126606,0.9669406078755856,1.0646104607731104
TQMSE,msmarco,1024,9,512,10000,1000,4.2819767259061337e-05,0.0063975099474191666,0.999948711006938,1.8221863789527374e-05,0.9999251407736411,0.9999488620699846,0.999972545781724,0.001880815252661705,0.0533748734742403,0.9582769945263863,1.0715123265981674
